voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Chaboissière;DE LA CHABOISSIERE;CHABOISSIERE;550262543
;Grand'Rue;GRAND RUE;RUE;74034910,659432787,659432791,659432792
IMPASSE;Impasse Henri Bergson;HENRI BERGSON;BERGSON;511825181
IMPASSE;Impasse de l'Aumonerie;DE L AUMONERIE;AUMONERIE;166018328
IMPASSE;Impasse des Sapins;DES SAPINS;SAPINS;73240415
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;49001300
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;550262553
IMPASSE;Impasse du Potonnier;DU POTONNIER;POTONNIER;550262539,550262541
IMPASSE;Impasse du Prieuré;DU PRIEURE;PRIEURE;550262550
;Le Frêne;LE FRENE;FRENE;167811796
;Pacerelle;PACERELLE;FRENE;234580096
PLACE;Place Marcel Masse;MARCEL MASSE;MASSE;550262546
ROUTE;Route de Parthenay;DE PARTHENAY;PARTHENAY;49001296
ROUTE;Route du Moulin de Chadeau;DU MOULIN DE CHADEAU;CHADEAU;105872946
RUE;Rue de l'Église;DE L EGLISE;EGLISE;73240420
RUE;Rue des Rambaudières;DES RAMBAUDIERES;RAMBAUDIERES;73240423
RUE;Rue du Pré de la Cure;DU PRE DE LA CURE;CURE;166018331
RUE;Rue du Verger des Rambaudières;DU VERGER DES RAMBAUDIERES;RAMBAUDIERES;49001299
