voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Rossiers;DES ROSSIERS;ROSSIERS;397230732
CHEMIN;Chemin de Vergers;DE VERGERS;VERGERS;397230736
CHEMIN;Chemin de la Ballade;DE LA BALLADE;BALLADE;179053609
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;300750194
CHEMIN;Chemin du Grand Pas;DU GRAND PAS;PAS;612724184
CHEMIN;Chemin du Jardin du Curé;DU JARDIN DU CURE;CURE;300750195
;Grand Rue;GRAND RUE;RUE;300750197
IMPASSE;Impasse de la Treille;DE LA TREILLE;TREILLE;300750198
IMPASSE;Impasse des Marronniers;DES MARRONNIERS;MARRONNIERS;397230739
IMPASSE;Impasse des Vergers Neufs;DES VERGERS NEUFS;NEUFS;397230742
IMPASSE;Impasse du Four;DU FOUR;FOUR;550164237,550164240
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;300750199
PLACE;Place des Marronniers;DES MARRONNIERS;MARRONNIERS;397230745
ROUTE;Route de Chizé;DE CHIZE;CHIZE;300750206
ROUTE;Route de la Cantine;DE LA CANTINE;CANTINE;300750200
ROUTE;Route de la Marzelle;DE LA MARZELLE;MARZELLE;179053613
ROUTE;Route du Lavoir;DU LAVOIR;LAVOIR;179052020
RUE;Rue des Frênes;DES FRENES;FRENES;179052017
RUE;Rue des Puits;DES PUITS;PUITS;300750201
RUE;Rue du Puits Rault;DU PUITS RAULT;RAULT;179052041
PLACE;place du Puits Rault;DU PUITS RAULT;RAULT;550164238
