voie;name;name_norm;last_word_norm;ways
CHEMIN RURAL;Chemin Rural Dit de la Croix;DIT DE LA CROIX;CROIX;256145610
CHEMIN;Chemin du Cimetière;DU CIMETIERE;CIMETIERE;162837692
ROUTE;Route de Flixecourt;DE FLIXECOURT;FLIXECOURT;365344740
RUE;Rue Gaston Bréant;GASTON BREANT;BREANT;256268998
RUE;Rue d'Aumont;D AUMONT;AUMONT;164073750
RUE;Rue d'Hangest;D HANGEST;HANGEST;45066747,365344734
RUE;Rue de la Louvière;DE LA LOUVIERE;LOUVIERE;164073752
RUE;Rue du 11 Novembre 1918;DU 11 NOVEMBRE 1918;1918;256268999
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;256269000
RUE;Rue du Marais;DU MARAIS;MARAIS;256269001
RUE;Rue du Pont d'Hangest;DU PONT D HANGEST;HANGEST;249341672
RUELLE;Ruelle du Château;DU CHATEAU;CHATEAU;256269002
RUELLE;Ruelle du Cul de Sac;DU CUL DE SAC;SAC;369376823
