voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Adolphe Roux;ADOLPHE ROUX;ROUX;49164110
ALLEE;Allée Saint-Joseph;SAINT JOSEPH;JOSEPH;49163710
ALLEE;Allée des Alouettes;DES ALOUETTES;ALOUETTES;49152723
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;49152724
ALLEE;Allée des Colverts;DES COLVERTS;COLVERTS;49152725
ALLEE;Allée des Dunes;DES DUNES;DUNES;49152726
ALLEE;Allée des Fauvettes;DES FAUVETTES;FAUVETTES;199680298
ALLEE;Allée des Garennes;DES GARENNES;GARENNES;49158762
ALLEE;Allée des Oyats;DES OYATS;OYATS;331899182
ALLEE;Allée des Pêcheurs;DES PECHEURS;PECHEURS;124967248
ALLEE;Allée des Églantiers;DES EGLANTIERS;EGLANTIERS;49152728
AVENUE;Avenue Carnot;CARNOT;BANAL;49163704
AVENUE;Avenue Dumont d'Urville;DUMONT D URVILLE;URVILLE;331899183
AVENUE;Avenue Faidherbe;FAIDHERBE;TELEGRAPHE;49151655
AVENUE;Avenue Guillaume Le Conquérant;GUILLAUME LE CONQUERANT;CONQUERANT;49151657
AVENUE;Avenue Parmentier;PARMENTIER;TELEGRAPHE;49151656,331899184,331899185
AVENUE;Avenue Paul Doumer;PAUL DOUMER;DOUMER;49163711
AVENUE;Avenue Victor Hugo;VICTOR HUGO;HUGO;49151662
AVENUE;Avenue du Commandant Yves Masset;DU COMMANDANT YVES MASSET;MASSET;156296537
BOULEVARD;Boulevard du Général Sizaire;DU GENERAL SIZAIRE;SIZAIRE;49145574,199569862,522073942
CHEMIN;Chemin d'Accès à la Mer;D ACCES A LA MER;MER;49162721
CHEMIN;Chemin de l'Avenir;DE L AVENIR;AVENIR;49152462
CHEMIN;Chemin de l'Espérance;DE L ESPERANCE;ESPERANCE;49152463
CHEMIN;Chemin de la Ruelle;DE LA RUELLE;RUELLE;83057899
CHEMIN;Chemin des Baigneurs;DES BAIGNEURS;BAIGNEURS;49152461
CHEMIN;Chemin des Mollières d'Aval;DES MOLLIERES D AVAL;AVAL;82878631,156331469,156331473
CHEMIN;Chemin des Sables;DES SABLES;SABLES;49159652
CHEMIN;Chemin du Gajolois;DU GAJOLOIS;GAJOLOIS;156292562
CHEMIN;Chemin du Mat de Signaux;DU MAT DE SIGNAUX;SIGNAUX;49152464
ESPLANADE;Esplanade Aristide Briand;ARISTIDE BRIAND;BRIAND;331903521,331903522
IMPASSE;Impasse Adolphe Roux;ADOLPHE ROUX;ROUX;49164112
