voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin d'Aouette;D AOUETTE;AOUETTE;307594692,307594731,321242675
CHEMIN;Chemin du Marais;DU MARAIS;MARAIS;60370395
;La Ruelle;LA RUELLE;RUELLE;290432055
RUE;Rue Blanchard;BLANCHARD;ENFER;167998393
RUE;Rue Denise;DENISE;CROIX;167843093
RUE;Rue Neuve;NEUVE;CROIX;167851438
RUE;Rue d'Ailly;D AILLY;AILLY;290627858,366326064
RUE;Rue d'Enfer;D ENFER;ENFER;167851442
RUE;Rue d'Hainneville;D HAINNEVILLE;HAINNEVILLE;167851440
RUE;Rue de Berny;DE BERNY;BERNY;321242677
RUE;Rue de Chaussoy;DE CHAUSSOY;CHAUSSOY;321242678,366326058
RUE;Rue de Flers;DE FLERS;FLERS;167851439,366326051
RUE;Rue de Tillolet;DE TILLOLET;TILLOLET;290627859
RUE;Rue de l'Orme;DE L ORME;ORME;290423478
RUE;Rue de l'Église;DE L EGLISE;EGLISE;290627860,366326066
RUE;Rue de la Carrière;DE LA CARRIERE;CARRIERE;321242679
RUE;Rue de la Croix;DE LA CROIX;CROIX;167843089
RUE;Rue de la Falaise;DE LA FALAISE;FALAISE;321242681
RUE;Rue de la Faloise;DE LA FALOISE;FALOISE;321242680
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;290432052
RUE;Rue des Vergers;DES VERGERS;VERGERS;50648906
RUE;Rue du Château;DU CHATEAU;CHATEAU;290627861,366326059
RUE;Rue du Fort;DU FORT;FORT;307594755
RUE;Rue du Gué;DU GUE;GUE;321242683
