voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Clairy;DE CLAIRY;CLAIRY;154138448
CHEMIN;Chemin de la Vallée;DE LA VALLEE;VALLEE;276034175
CHEMIN;Chemin des Bleuets;DES BLEUETS;BLEUETS;154138444
CHEMIN;Chemin du Bois;DU BOIS;BOIS;276034176
CHEMIN;Chemin du Jardin Defrance;DU JARDIN DEFRANCE;DEFRANCE;418319506
RUE;Rue Derrière les Haies;DERRIERE LES HAIES;HAIES;276034178
RUE;Rue Main;MAIN;CLAIRY;154138454
RUE;Rue Principale;PRINCIPALE;HAIES;276034179
RUE;Rue de Bacouel;DE BACOUEL;BACOUEL;276034180
RUE;Rue des Revelles;DES REVELLES;REVELLES;276034181,331261491
