voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de l'Albatros;DE L ALBATROS;ALBATROS;244403933
ALLEE;Allée du Nautilus;DU NAUTILUS;NAUTILUS;244403995,244404010,286244794,286244795
AVENUE;Avenue Phileas Fogg;PHILEAS FOGG;FOGG;24277999,24278000,27379271,38005402
AVENUE;Avenue de l'Étoile du Sud;DE L ETOILE DU SUD;SUD;89832881
AVENUE;Avenue de la Ville Idéale;DE LA VILLE IDEALE;IDEALE;24277998,24278001,286211499
AVENUE;Avenue du Great Eastern;DU GREAT EASTERN;EASTERN;331743154,648515017
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;206315024,206427863,206427864,345589872
CHEMIN;Chemin des Alouèdes;DES ALOUEDES;ALOUEDES;27313148
CHEMIN;Chemin du Marais;DU MARAIS;MARAIS;75381755
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;286244797
IMPASSE;Impasse des Églantiers;DES EGLANTIERS;EGLANTIERS;286244798
PISTE;Pistes Station Service Géant;S STATION SERVICE GEANT;GEANT;43325802,43325803
ROUTE;Route de Blangy;DE BLANGY;BLANGY;27315150
RUE;Rue Clovis Dardentor;CLOVIS DARDENTOR;DARDENTOR;303461407
RUE;Rue Francis Desavois;FRANCIS DESAVOIS;DESAVOIS;286244799,286244800
RUE;Rue Hector Servadac;HECTOR SERVADAC;SERVADAC;303461408
RUE;Rue Neuve;NEUVE;DESAVOIS;286244801
RUE;Rue Robur Le Conquérant;ROBUR LE CONQUERANT;CONQUERANT;319440805
RUE;Rue d'En Haut;D EN HAUT;HAUT;27313258,286244802
RUE;Rue de l'Aiguillon;DE L AIGUILLON;AIGUILLON;37113467
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;37113465
RUE;Rue des Alcoves;DES ALCOVES;ALCOVES;37113466
RUE;Rue des Aubépines;DES AUBEPINES;AUBEPINES;286244803
RUE;Rue des Cépages;DES CEPAGES;CEPAGES;141226368
RUE;Rue des Fontaines Bleues;DES FONTAINES BLEUES;BLEUES;75224828
RUE;Rue des Hellebores;DES HELLEBORES;HELLEBORES;141235173
RUE;Rue des Indes Noires;DES INDES NOIRES;NOIRES;141113395
RUE;Rue des Sarments;DES SARMENTS;SARMENTS;286244804
RUE;Rue des Trémières;DES TREMIERES;TREMIERES;141235175,141235180,254850003,254850004
RUE;Rue des Vieux Ceps;DES VIEUX CEPS;CEPS;286244805
RUE;Rue des Vignes;DES VIGNES;VIGNES;27313256
RUE;Rue du Capitaine Némo;DU CAPITAINE NEMO;NEMO;33070922,89832902
RUE;Rue du Maître du Monde;DU MAITRE DU MONDE;MONDE;331743136
RUE;Rue du Vert Bout;DU VERT BOUT;BOUT;141113394,260313458
VIADUC;Viaduc Jules Verne;JULES VERNE;VERNE;56048520,56048521
