voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Blanc;BLANC;HAIES;219401668
CHEMIN;Chemin Dessus des Vignes;DESSUS DES VIGNES;VIGNES;219388193
CHEMIN;Chemin de Beheze;DE BEHEZE;BEHEZE;219402686
CHEMIN;Chemin de Gournay;DE GOURNAY;GOURNAY;219402687
CHEMIN;Chemin de la Baque de Fluy;DE LA BAQUE DE FLUY;FLUY;219403262
CHEMIN;Chemin de la Couture de Pissy;DE LA COUTURE DE PISSY;PISSY;219400843
CHEMIN;Chemin de la Grande Couture;DE LA GRANDE COUTURE;COUTURE;554332506
CHEMIN;Chemin de la Vallée Garroux;DE LA VALLEE GARROUX;GARROUX;257997229
CHEMIN;Chemin des Hayettes;DES HAYETTES;HAYETTES;219402678,219402683
CHEMIN;Chemin des Terres Sellier;DES TERRES SELLIER;SELLIER;219402677
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;219399803
CHEMIN;Chemin du Camp Feron;DU CAMP FERON;FERON;219402679
CHEMIN;Chemin du Collier d'Or;DU COLLIER D OR;OR;257997199
CHEMIN;Chemin du Jardin Defrance;DU JARDIN DEFRANCE;DEFRANCE;418319506
CHEMIN;Chemin du Saule Hoy;DU SAULE HOY;HOY;219388199
CHEMIN;Chemin du Tour des Haies;DU TOUR DES HAIES;HAIES;219400845
CHEMIN;Chemin du Trelet;DU TRELET;TRELET;257997197
CHEMIN;Chemin entre les Haies;ENTRE LES HAIES;HAIES;554332505
ROUTE;Route départementale n°97 de Revelles à Villers-Bocage;DEPARTEMENTALE N°97 DE REVELLES A VILLERS BOCAGE;BOCAGE;295261700
RUE;Rue Brache;BRACHE;FERON;219402681
RUE;Rue Cliquette;CLIQUETTE;SAC;164338772
RUE;Rue Jean Véru;JEAN VERU;VERU;554332494
RUE;Rue Malassise;MALASSISE;SAC;164338768
RUE;Rue Tournante;TOURNANTE;BOCAGE;295261701
RUE;Rue d'Amiens;D AMIENS;AMIENS;295261702
RUE;Rue de Boisicourt;DE BOISICOURT;BOISICOURT;295261703
RUE;Rue de Fluy;DE FLUY;FLUY;164338764,631591212
RUE;Rue de Pissy;DE PISSY;PISSY;45066736
RUE;Rue de la Ville;DE LA VILLE;VILLE;36002144,219386484
RUE;Rue du Bellet;DU BELLET;BELLET;295261704
RUE;Rue du Bois;DU BOIS;BOIS;295261705
RUE;Rue du Meunier;DU MEUNIER;MEUNIER;319605554
RUE;Rue du Sac;DU SAC;SAC;164338767
RUE;Rue du Tour de Haies;DU TOUR DE HAIES;HAIES;219400846
VOIE COMMUNALE;Voie communale n°5 de Fluy à Revelles;N°5 DE FLUY A REVELLES;REVELLES;631591844
VOIE COMMUNALE;Voie communale n°6 de Fluy à Revelles;N°6 DE FLUY A REVELLES;REVELLES;295261706
