voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Combelles;DE COMBELLES;COMBELLES;282857795
CHEMIN;Chemin de la Crompadié;DE LA CROMPADIE;CROMPADIE;282903276
;Estènes;ESTENES;ESTENES;96277679
PASSAGE;Passage Benjamin Pailhas;BENJAMIN PAILHAS;PAILHAS;428933854
PLACE;Place Benjamin Pailhas;BENJAMIN PAILHAS;PAILHAS;428933855
PLACE;Place de l'Église;DE L EGLISE;EGLISE;428933856
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;428933857
PLACE;Place des Douves;DES DOUVES;DOUVES;428933858
ROUTE;Route d'Albi;D ALBI;ALBI;136735573,381499682,381499683,428933859
ROUTE;Route de Cahuzac;DE CAHUZAC;CAHUZAC;428933860
ROUTE;Route de Gaillac;DE GAILLAC;GAILLAC;428933861,428933862
ROUTE;Route de Roumanou;DE ROUMANOU;ROUMANOU;136732907,322694986,322694989
ROUTE;Route de Villeneuve;DE VILLENEUVE;VILLENEUVE;385907014
RUE;Rue Jean-François Batailhé;JEAN FRANCOIS BATAILHE;BATAILHE;428933863
RUE;Rue de l'Église;DE L EGLISE;EGLISE;326214874
RUE;Rue de la Madeleine;DE LA MADELEINE;MADELEINE;322682285
RUE;Rue des Notaires Boudet;DES NOTAIRES BOUDET;BOUDET;282903280
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;428933864
RUE;Rue du Château;DU CHATEAU;CHATEAU;428933866
RUE;Rue du Puech;DU PUECH;PUECH;428933867
