voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Barejadères;BAREJADERES;CIMETIERE;496894296
CHEMIN;Chemin Cassagnol;CASSAGNOL;BELANS;669993278,669993279
CHEMIN;Chemin de Borde Haute;DE BORDE HAUTE;HAUTE;379845397
CHEMIN;Chemin de Las Bordes;DE LAS BORDES;BORDES;379845398
CHEMIN;Chemin de Las Founso;DE LAS FOUNSO;FOUNSO;147159794
CHEMIN;Chemin de Pouquet;DE POUQUET;POUQUET;174985287
CHEMIN;Chemin de Prat Barrat;DE PRAT BARRAT;BARRAT;233360507
CHEMIN;Chemin de Rebessens;DE REBESSENS;REBESSENS;597810560,599884413
CHEMIN;Chemin de Ronde;DE RONDE;RONDE;597810565,597810567,597810569
CHEMIN;Chemin de la Théoule;DE LA THEOULE;THEOULE;129787378
CHEMIN;Chemin des Trigofrèdes;DES TRIGOFREDES;TRIGOFREDES;670000278
CHEMIN;Chemin du Cimetière;DU CIMETIERE;CIMETIERE;461147337
CHEMIN;Chemin du Lac;DU LAC;LAC;262446321
CHEMIN;Chemin du Tir;DU TIR;TIR;191116870
CHEMIN;Chemin du Village;DU VILLAGE;VILLAGE;496903110
CHEMIN RURAL;Chemin rural des Barejaderes;DES BAREJADERES;BAREJADERES;147159784
COTE;Côte des Bouquets;DES BOUQUETS;BOUQUETS;379845399
IMPASSE;Impasse du Coustou;DU COUSTOU;COUSTOU;191116866
PONT;Pont Sapiac;SAPIAC;EAU;147159766
ROUTE;Route de Beaumont;DE BEAUMONT;BEAUMONT;129787350,296687181,296687183,296687184,296687185,296687186
ROUTE;Route de Beaumont à Lavilledieu;DE BEAUMONT A LAVILLEDIEU;LAVILLEDIEU;129787357,147159678
ROUTE;Route de Belleperche;DE BELLEPERCHE;BELLEPERCHE;129844696,147159765,262377890,599884405
ROUTE;Route de Bila;DE BILA;BILA;129798310
ROUTE;Route de Cadours;DE CADOURS;CADOURS;129844708
ROUTE;Route de Castelferrus;DE CASTELFERRUS;CASTELFERRUS;129787388,129787391,147159799
ROUTE;Route de Grenade à Malause;DE GRENADE A MALAUSE;MALAUSE;129787387,129787390
ROUTE;Route de Lafitte;DE LAFITTE;LAFITTE;130344425,599899837
ROUTE;Route de Rieucaud;DE RIEUCAUD;RIEUCAUD;233359960
ROUTE;Route de Stroys;DE STROYS;STROYS;599884416,669933767,669933768
ROUTE;Route des Belans;DES BELANS;BELANS;669992509
ROUTE;Route des Bergines;DES BERGINES;BERGINES;130344429
ROUTE;Route des Estédiès;DES ESTEDIES;ESTEDIES;191115204
ROUTE;Route des Marres;DES MARRES;MARRES;130344418
ROUTE;Route des Parreaux;DES PARREAUX;PARREAUX;191115123
ROUTE;Route des Places;DES PLACES;PLACES;191114693
ROUTE;Route du Château d'Eau;DU CHATEAU D EAU;EAU;133298017
ROUTE;Route du Puits;DU PUITS;PUITS;133298016,133298018
RUE;Rue de Puidebat;DE PUIDEBAT;PUIDEBAT;133297695,597810563
RUE;Rue de l'Église;DE L EGLISE;EGLISE;133297694
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;130344421,379845403
