voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin La Roujette;LA ROUJETTE;ROUJETTE;512571744
CHEMIN;Chemin Vieux Savenès-Verdun;VIEUX SAVENES VERDUN;VERDUN;377661282
CHEMIN;Chemin d'Engouse;D ENGOUSE;ENGOUSE;271145696
CHEMIN;Chemin de Barlan;DE BARLAN;BARLAN;626389317
CHEMIN;Chemin de Bernès;DE BERNES;BERNES;111829807
CHEMIN;Chemin de Crabette;DE CRABETTE;CRABETTE;129884518
CHEMIN;Chemin de Gouzounat;DE GOUZOUNAT;GOUZOUNAT;129884494
CHEMIN;Chemin de Guiraudet;DE GUIRAUDET;GUIRAUDET;129884477
CHEMIN;Chemin de Mauvert;DE MAUVERT;MAUVERT;258795118
CHEMIN;Chemin de Peyremil;DE PEYREMIL;PEYREMIL;111829803
CHEMIN;Chemin de Pradère;DE PRADERE;PRADERE;525616136
CHEMIN;Chemin de Quesquils;DE QUESQUILS;QUESQUILS;626992003
CHEMIN;Chemin de Remy;DE REMY;REMY;555184189
CHEMIN;Chemin de Saint-Ginest;DE SAINT GINEST;GINEST;627012874
CHEMIN;Chemin de Trauquebise;DE TRAUQUEBISE;TRAUQUEBISE;569437950
CHEMIN;Chemin de la Bezette;DE LA BEZETTE;BEZETTE;569439987
CHEMIN;Chemin de la Corne;DE LA CORNE;CORNE;512498984
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;569439238
CHEMIN;Chemin de la Goudonne;DE LA GOUDONNE;GOUDONNE;442414112
CHEMIN;Chemin de la Médecine;DE LA MEDECINE;MEDECINE;111829811
CHEMIN;Chemin des Bergers;DES BERGERS;BERGERS;129884491
CHEMIN;Chemin des Blanchets Hauts;DES BLANCHETS HAUTS;HAUTS;512304919
CHEMIN;Chemin des Braguejayres;DES BRAGUEJAYRES;BRAGUEJAYRES;129884570
CHEMIN;Chemin des Janisses;DES JANISSES;JANISSES;258796499
CHEMIN;Chemin des Perris;DES PERRIS;PERRIS;111829804
CHEMIN;Chemin du Bousquet Biel;DU BOUSQUET BIEL;BIEL;326380587
CHEMIN;Chemin du Flouquet;DU FLOUQUET;FLOUQUET;129884498
CHEMIN;Chemin du Fort;DU FORT;FORT;111829813
CHEMIN;Chemin du Lièvre;DU LIEVRE;LIEVRE;626233443
CHEMIN;Chemin du Pintre;DU PINTRE;PINTRE;129884581
CHEMIN;Chemin du Puy;DU PUY;PUY;626232141
COTE;Côte d'Escufès;D ESCUFES;ESCUFES;569438758
COTE;Côte de Laperière;DE LAPERIERE;LAPERIERE;593400347
IMPASSE;Impasse de Garros;DE GARROS;GARROS;512366286
LOTISSEMENT;Lotissement de Fourcaran;DE FOURCARAN;FOURCARAN;440590143
LOTISSEMENT;Lotissement du Colombier;DU COLOMBIER;COLOMBIER;214651445
LOTISSEMENT;Lotissement du Pradiau;DU PRADIAU;PRADIAU;129884506
PLACE;Place de la Bascule;DE LA BASCULE;BASCULE;326381380
ROUTE;Route d'Aucamville;D AUCAMVILLE;AUCAMVILLE;129809213,577942795
ROUTE;Route d'Auch;D AUCH;AUCH;370330340,593400338
ROUTE;Route de Beaumont;DE BEAUMONT;BEAUMONT;383416552,626390648
ROUTE;Route de Beaupuy;DE BEAUPUY;BEAUPUY;129884548
ROUTE;Route de Grenade;DE GRENADE;GRENADE;383416556,593400351
ROUTE;Route de Mas-Grenier;DE MAS GRENIER;GRENIER;569439720
ROUTE;Route de Verdun-sur-Garonne à Beaumont-de-Lomagne;DE VERDUN SUR GARONNE A BEAUMONT DE LOMAGNE;LOMAGNE;626224259
ROUTE;Route des Quatre Chemins;DES QUATRE CHEMINS;CHEMINS;593400368
ROUTE;Route du Burgaud;DU BURGAUD;BURGAUD;23576037
ROUTE;Route du Village;DU VILLAGE;VILLAGE;569438623
RUE;Rue Bellevue;BELLEVUE;BELLEVUE;129884527
RUE;Rue de l'Église;DE L EGLISE;EGLISE;440589299,626223000
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;569438621
RUE;Rue des Carrelots;DES CARRELOTS;CARRELOTS;129884481
RUE;Rue du Camp del Barrou;DU CAMP DEL BARROU;BARROU;129884550
RUE;Rue du Château;DU CHATEAU;CHATEAU;129884575
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;129884493
ROUTE;route Verdun-Beaumont;VERDUN BEAUMONT;BEAUMONT;593400384
