voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Pé de Gleyze;PE DE GLEYZE;GLEYZE;50078726,50078729
ALLEE;Allée des Fontaines;DES FONTAINES;FONTAINES;50078723,50078724
ALLEE;Allées du 4 Septembre;S DU 4 SEPTEMBRE;SEPTEMBRE;30196117,50076247,51036538,51036540,51036541,51036542,51070472
AVENUE;Avenue Auguste Grèze;AUGUSTE GREZE;GREZE;49793900
AVENUE;Avenue Flandre Dunkerque;FLANDRE DUNKERQUE;DUNKERQUE;49924982
AVENUE;Avenue Flandres-Dunkerque;FLANDRES DUNKERQUE;DUNKERQUE;175803147
AVENUE;Avenue Georges d'Esparbes;GEORGES D ESPARBES;ESPARBES;49599939
AVENUE;Avenue Jean Baylet;JEAN BAYLET;BAYLET;50076245,50076251,50076377,151862135
AVENUE;Avenue Jean Monnet;JEAN MONNET;MONNET;34947801,49965023,49965028,51035597,51067124,51067811,51067814,51338335,151860062,175803148
AVENUE;Avenue Jupiter;JUPITER;JUPITER;49924985
AVENUE;Avenue Marceau Hamecher;MARCEAU HAMECHER;HAMECHER;30197263,30197269
AVENUE;Avenue Mars;MARS;MARS;49924990
AVENUE;Avenue Monplaisir;MONPLAISIR;MONPLAISIR;404360232
AVENUE;Avenue Neptune;NEPTUNE;NEPTUNE;49924991,49924992
AVENUE;Avenue Saturne;SATURNE;SATURNE;49924986
AVENUE;Avenue Vénus;VENUS;VENUS;49924984
AVENUE;Avenue de Bordeaux;DE BORDEAUX;BORDEAUX;49599938
AVENUE;Avenue de Gascogne;DE GASCOGNE;GASCOGNE;30196112,30196119,50306280,618749939,618749940,618749943
AVENUE;Avenue de Peyroutas;DE PEYROUTAS;PEYROUTAS;49900428
AVENUE;Avenue de Vidouze;DE VIDOUZE;VIDOUZE;49900105,175803149
AVENUE;Avenue de la Gare;DE LA GARE;GARE;49793903
AVENUE;Avenue du Maréchal Leclerc de Hautecloque;DU MARECHAL LECLERC DE HAUTECLOQUE;HAUTECLOQUE;49916035
AVENUE;Avenue du Quercy;DU QUERCY;QUERCY;30197265,30197266,30197274,49916976,175803152,175803153,333911561,333911562
BOULEVARD;Boulevard Victor Guilhem;VICTOR GUILHEM;GUILHEM;42155930,50059975
BOULEVARD;Boulevard de Torsiac;DE TORSIAC;TORSIAC;49921709,49921711
;Carrelot de la Jordane;CARRELOT DE LA JORDANE;JORDANE;49796182
CHEMIN;Chemin de Guinet;DE GUINET;GUINET;48967327
CHEMIN;Chemin de la Brune;DE LA BRUNE;BRUNE;49965029
CHEMIN;Chemin de la Nauze;DE LA NAUZE;NAUZE;49965025
CHEMIN;Chemin de la Tonne;DE LA TONNE;TONNE;49924987
CHEMIN;Chemin des Bordes;DES BORDES;BORDES;64185304
CHEMIN;Chemin du Pigeonnier;DU PIGEONNIER;PIGEONNIER;64185411
CHEMIN;Chemin du Pré de la Ville;DU PRE DE LA VILLE;VILLE;50087465
CLOS;Clos de Cornillas;DE CORNILLAS;CORNILLAS;49916977,49916978,49916979,49916980
COURS;Cours de Verdun;DE VERDUN;VERDUN;51067123,334199178,334199180
COURS;Cours du Huit Mai;DU HUIT MAI;MAI;42155923,151862129,385028316
HAMEAU;Hameau du Pontus;DU PONTUS;PONTUS;49701669,49701673
IMPASSE;Impasse Balette;BALETTE;BALETTE;50062569
IMPASSE;Impasse Colette;COLETTE;COLETTE;49965036
IMPASSE;Impasse George Sand;GEORGE SAND;SAND;49965033
IMPASSE;Impasse Jacques Prévert;JACQUES PREVERT;PREVERT;50084324
IMPASSE;Impasse Jasmin;JASMIN;JASMIN;49926104
IMPASSE;Impasse Jean-Baptiste Chaumeil;JEAN BAPTISTE CHAUMEIL;CHAUMEIL;50061786
IMPASSE;Impasse Jupiter;JUPITER;JUPITER;49924989
IMPASSE;Impasse de Cluzel;DE CLUZEL;CLUZEL;50088879
IMPASSE;Impasse de Palombes;DE PALOMBES;PALOMBES;49701658
IMPASSE;Impasse de la Justice;DE LA JUSTICE;JUSTICE;49796195
IMPASSE;Impasse des Ifs;DES IFS;IFS;49927111
IMPASSE;Impasse des Ramiers;DES RAMIERS;RAMIERS;49701662
IMPASSE;Impasse des Remparts;DES REMPARTS;REMPARTS;49796192
IMPASSE;Impasse des Tanneries;DES TANNERIES;TANNERIES;50117055,50117056
IMPASSE;Impasse des Terriers;DES TERRIERS;TERRIERS;51140549
IMPASSE;Impasse des Tourterelles;DES TOURTERELLES;TOURTERELLES;49701660
IMPASSE;Impasse des Vanneaux;DES VANNEAUX;VANNEAUX;49701666
IMPASSE;Impasse du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;385023606
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;50059966
IMPASSE;Impasse du Clos;DU CLOS;CLOS;50117059
IMPASSE;Impasse du Docteur Dufaur;DU DOCTEUR DUFAUR;DUFAUR;49796191
IMPASSE;Impasse du Pont du Clos;DU PONT DU CLOS;CLOS;50078732,50078733
;Le Coustellou du Théron;LE COUSTELLOU DU THERON;THERON;50079004
LOTISSEMENT;Lotissement Chantemerle;CHANTEMERLE;CHANTEMERLE;51070274,51070276,51070277
LOTISSEMENT;Lotissement de la Plaine;DE LA PLAINE;PLAINE;51035598,51035599,51035600
;Mac Drive;MAC DRIVE;DRIVE;334085289,404279274,404279275
PLACE;Place Nationale;NATIONALE;NATIONALE;51038809
PLACE;Place Sylvain Dumon;SYLVAIN DUMON;DUMON;51096859,385024879,385024881
PLACE;Place de Pé de Gleyze;DE PE DE GLEYZE;GLEYZE;51037807
PLACE;Place de la Gare;DE LA GARE;GARE;404276012
PLACE;Place des Cèdres;DES CEDRES;CEDRES;49927112
PLACE;Place du Colombier;DU COLOMBIER;COLOMBIER;50084322
ROND POINT;Rond-Point de l'Europe;DE L EUROPE;EUROPE;151857584
ROUTE;Route Départementale 813;DEPARTEMENTALE 813;813;385035258
ROUTE;Route d'Espalais;D ESPALAIS;ESPALAIS;50306275,618749941,618749942
ROUTE;Route d'Éspalais;D ESPALAIS;ESPALAIS;49571173
ROUTE;Route de Cornillas;DE CORNILLAS;CORNILLAS;49924981,334185934,334186468,334186469,334186471
ROUTE;Route de Coupet;DE COUPET;COUPET;49965024
ROUTE;Route de Croix de Saumade;DE CROIX DE SAUMADE;SAUMADE;571238203
ROUTE;Route de Goudourville;DE GOUDOURVILLE;GOUDOURVILLE;42155917
ROUTE;Route de Moissac;DE MOISSAC;MOISSAC;385029950
ROUTE;Route de Timbrune;DE TIMBRUNE;TIMBRUNE;62080283
ROUTE;Route des Charretiers;DES CHARRETIERS;CHARRETIERS;50306795,618749937,618749938
RUE;Rue Andrieu;ANDRIEU;ANDRIEU;50076243
RUE;Rue Aristide Briand;ARISTIDE BRIAND;BRIAND;49796177,571228987
RUE;Rue Augustin Gignoux;AUGUSTIN GIGNOUX;GIGNOUX;50059974
RUE;Rue Baptiste Marcet;BAPTISTE MARCET;MARCET;49924988
RUE;Rue Denis Diderot;DENIS DIDEROT;DIDEROT;49899650,49899656
RUE;Rue François Moulenq;FRANCOIS MOULENQ;MOULENQ;49921710
RUE;Rue Gaston Bonheur;GASTON BONHEUR;BONHEUR;49965032
RUE;Rue Gustave Eiffel;GUSTAVE EIFFEL;EIFFEL;49965027
RUE;Rue Issandou;ISSANDOU;ISSANDOU;151860063
RUE;Rue Janerose Desalbres;JANEROSE DESALBRES;DESALBRES;49965031
RUE;Rue Jasmin;JASMIN;JASMIN;49926107
RUE;Rue Jean Capgras;JEAN CAPGRAS;CAPGRAS;49921708
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;50085061
RUE;Rue Jean-Jacques Rousseau;JEAN JACQUES ROUSSEAU;ROUSSEAU;49899648
RUE;Rue Laborie;LABORIE;LABORIE;50059969
RUE;Rue Lageyre;LAGEYRE;LAGEYRE;49796190
RUE;Rue Laujol;LAUJOL;LAUJOL;49965034
RUE;Rue Lizotte;LIZOTTE;LIZOTTE;49900429
RUE;Rue Marcabrun;MARCABRUN;MARCABRUN;49926106
RUE;Rue Marie Jean Condorcet;MARIE JEAN CONDORCET;CONDORCET;49899651
RUE;Rue Maryse Bastié;MARYSE BASTIE;BASTIE;49965030
RUE;Rue Mercure;MERCURE;MERCURE;610780526
RUE;Rue Mistral;MISTRAL;MISTRAL;49836421,49926103
RUE;Rue Notre-Dame;NOTRE DAME;DAME;49796189,50076248
RUE;Rue Paul Riquet;PAUL RIQUET;RIQUET;50087466
RUE;Rue Perez;PEREZ;PEREZ;50083080
RUE;Rue Pierre Perret;PIERRE PERRET;PERRET;49899652,49899653
RUE;Rue Pierre et Marie Curie;PIERRE ET MARIE CURIE;CURIE;51068170
RUE;Rue Pé de Gleyze;PE DE GLEYZE;GLEYZE;50078728
RUE;Rue Saint-Bernard;SAINT BERNARD;BERNARD;50087467
RUE;Rue Saint-Étienne;SAINT ETIENNE;ETIENNE;50076543
RUE;Rue Xavier Moulenq;XAVIER MOULENQ;MOULENQ;50059973
RUE;Rue d'Alsace-Lorraine;D ALSACE LORRAINE;LORRAINE;49900427
RUE;Rue de Castels;DE CASTELS;CASTELS;50083078,50083079
RUE;Rue de Cluzel;DE CLUZEL;CLUZEL;42155931,42155932,51071832,334199179
RUE;Rue de Timbrune;DE TIMBRUNE;TIMBRUNE;50075223
RUE;Rue de l'Union;DE L UNION;UNION;50083571,50083573
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;49924983
RUE;Rue de la Garonne;DE LA GARONNE;GARONNE;51037803,51037804,51037805,614805223,614805224
RUE;Rue de la Justice;DE LA JUSTICE;JUSTICE;49796194
RUE;Rue de la Mouline;DE LA MOULINE;MOULINE;51035603
RUE;Rue de la Porte Neuve;DE LA PORTE NEUVE;NEUVE;51037801,51037802
RUE;Rue de la Prune d'Ente;DE LA PRUNE D ENTE;ENTE;49965037
RUE;Rue de la Razère;DE LA RAZERE;RAZERE;49965035
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;49599940
RUE;Rue des Bains;DES BAINS;BAINS;49793906
RUE;Rue des Chasselas Doré;DES CHASSELAS DORE;DORE;49965038
RUE;Rue des Cèdres;DES CEDRES;CEDRES;49927109
RUE;Rue des Fossés;DES FOSSES;FOSSES;50059968
RUE;Rue des Lilas;DES LILAS;LILAS;49836422
RUE;Rue des Limousins;DES LIMOUSINS;LIMOUSINS;49796179
RUE;Rue des Magnolias;DES MAGNOLIAS;MAGNOLIAS;49899658
RUE;Rue des Mimosas;DES MIMOSAS;MIMOSAS;49899659
RUE;Rue des Mirabelles;DES MIRABELLES;MIRABELLES;49965026,151860067
RUE;Rue des Primevères;DES PRIMEVERES;PRIMEVERES;49926102
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;49796193
RUE;Rue des Tulipiers;DES TULIPIERS;TULIPIERS;49899657
RUE;Rue des Violettes;DES VIOLETTES;VIOLETTES;49899661
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;49965039,51034038
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;50083316
RUE;Rue du Chevalier Toile;DU CHEVALIER TOILE;TOILE;51038808,261692531
