voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Piétons de Glycenes;PIETONS DE GLYCENES;GLYCENES;376883292
ALLEE;Allée de la Lavande;DE LA LAVANDE;LAVANDE;376754038,501657003
ALLEE;Allée de la Verveine;DE LA VERVEINE;VERVEINE;376742708
ALLEE;Allée des Cigales;DES CIGALES;CIGALES;45044408,45044409,45044410
ALLEE;Allée des Cistes;DES CISTES;CISTES;45044405
ALLEE;Allée des Ecureuils;DES ECUREUILS;ECUREUILS;45044406
ALLEE;Allée des Glycines;DES GLYCINES;GLYCINES;376861425,376883293
ALLEE;Allée des Hulottes;DES HULOTTES;HULOTTES;370764307
ALLEE;Allée des Oliviers;DES OLIVIERS;OLIVIERS;376731490
ALLEE;Allée des Restanques;DES RESTANQUES;RESTANQUES;44918346
ALLEE;Allée des Romarins;DES ROMARINS;ROMARINS;45044407
ALLEE;Allée du Romarin;DU ROMARIN;ROMARIN;376754042
AVENUE;Avenue Barral des Baux;BARRAL DES BAUX;BAUX;24745131
;Bosq Saint-Antoine;BOSQ SAINT ANTOINE;ANTOINE;84842594
CHEMIN;Chemin Henri et Jules de la Madeleine;HENRI ET JULES DE LA MADELEINE;MADELEINE;256091107
CHEMIN;Chemin Van Ouest;VAN OUEST;OUEST;44771656
CHEMIN;Chemin Vieux de Sault;VIEUX DE SAULT;SAULT;45044411
CHEMIN;Chemin d'Enclarette;D ENCLARETTE;ENCLARETTE;199042409,490482616
CHEMIN;Chemin de Beaumont du Ventoux;DE BEAUMONT DU VENTOUX;VENTOUX;45148979,370358144,490489437
CHEMIN;Chemin de Bédoin A Villes Sur Auz;DE BEDOIN A VILLES SUR AUZ;AUZ;170841900
CHEMIN;Chemin de Bédoin aux Baux;DE BEDOIN AUX BAUX;BAUX;45045260,545886157
CHEMIN;Chemin de Bédoin à Crillon;DE BEDOIN A CRILLON;CRILLON;167792740
CHEMIN;Chemin de Carpentras aux Couguious;DE CARPENTRAS AUX COUGUIOUS;COUGUIOUS;121368672,490482661
CHEMIN;Chemin de Crillon le Brave;DE CRILLON LE BRAVE;BRAVE;522371892,522371893,523629061,553550913
CHEMIN;Chemin de Granges;DE GRANGES;GRANGES;42812598,465654618,545886162,545886163
CHEMIN;Chemin de Malaugu;DE MALAUGU;MALAUGU;430598212
CHEMIN;Chemin de Maraval;DE MARAVAL;MARAVAL;370435099,376759173
CHEMIN;Chemin de Ménèque;DE MENEQUE;MENEQUE;465654617
CHEMIN;Chemin de Reveilla;DE REVEILLA;REVEILLA;45050301
CHEMIN;Chemin de Ronde;DE RONDE;RONDE;45050319,490482655,662840147
CHEMIN;Chemin de Saint-Marc;DE SAINT MARC;MARC;170727025
CHEMIN;Chemin de l'Ancien Stade;DE L ANCIEN STADE;STADE;45044412
CHEMIN;Chemin de la Chapelle du Moustier;DE LA CHAPELLE DU MOUSTIER;MOUSTIER;45050305,371014162
CHEMIN;Chemin de la Combe;DE LA COMBE;COMBE;233228517
CHEMIN;Chemin de la Dayanne;DE LA DAYANNE;DAYANNE;44919382,374193052,376914867,376914868,490482618
CHEMIN;Chemin de la Farigoule;DE LA FARIGOULE;FARIGOULE;376731488
CHEMIN;Chemin de la Ferraille;DE LA FERRAILLE;FERRAILLE;44915002
CHEMIN;Chemin de la Font du Loup;DE LA FONT DU LOUP;LOUP;45053023,371560745
CHEMIN;Chemin de la Fumade aux Baux;DE LA FUMADE AUX BAUX;BAUX;45050307
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;43161599,662844817
CHEMIN;Chemin de la Maison de Retraite;DE LA MAISON DE RETRAITE;RETRAITE;369127034
CHEMIN;Chemin de la Marjolaine;DE LA MARJOLAINE;MARJOLAINE;376849535
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;41916169,44915704,44918938,490482662
CHEMIN;Chemin de la Plaoute;DE LA PLAOUTE;PLAOUTE;596959939
CHEMIN;Chemin de la Sauguie;DE LA SAUGUIE;SAUGUIE;84886514
CHEMIN;Chemin de la Sauguier Est;DE LA SAUGUIER EST;EST;370762652
CHEMIN;Chemin de la Tour;DE LA TOUR;TOUR;44988220,44988224
CHEMIN;Chemin derrière Saint-Jean;DERRIERE SAINT JEAN;JEAN;44773965,192635490
CHEMIN;Chemin des Bérards;DES BERARDS;BERARDS;84843022
CHEMIN;Chemin des Carrières;DES CARRIERES;CARRIERES;461759270
CHEMIN;Chemin des Clops;DES CLOPS;CLOPS;370764217
CHEMIN;Chemin des Condamines sud;DES CONDAMINES SUD;SUD;490482617
CHEMIN;Chemin des Crans;DES CRANS;CRANS;442276884
CHEMIN;Chemin des Demoiselles Coiffées;DES DEMOISELLES COIFFEES;COIFFEES;45050303,490482657,490482658
CHEMIN;Chemin des Febriers et du Ventoux;DES FEBRIERS ET DU VENTOUX;VENTOUX;170726373
CHEMIN;Chemin des Florans;DES FLORANS;FLORANS;44775139,45036967,45036968
CHEMIN;Chemin des Gargory;DES GARGORY;GARGORY;490653863,490653864
CHEMIN;Chemin des Gipières;DES GIPIERES;GIPIERES;543466993
CHEMIN;Chemin des Grand-Terres;DES GRAND TERRES;TERRES;537067771
CHEMIN;Chemin des Jean Blanc;DES JEAN BLANC;BLANC;370762136
CHEMIN;Chemin des Maridats;DES MARIDATS;MARIDATS;277008049
CHEMIN;Chemin des Moulins;DES MOULINS;MOULINS;84844430
CHEMIN;Chemin des Platanes;DES PLATANES;PLATANES;376883294
CHEMIN;Chemin des Pousse Chiens;DES POUSSE CHIENS;CHIENS;119945260
CHEMIN;Chemin des Remparts;DES REMPARTS;REMPARTS;44775140
CHEMIN;Chemin des Sablières;DES SABLIERES;SABLIERES;45034318,523629062
CHEMIN;Chemin des Tamaris;DES TAMARIS;TAMARIS;376844555
CHEMIN;Chemin des Treilles;DES TREILLES;TREILLES;44773962,371013657
CHEMIN;Chemin des Vergers aux Baux;DES VERGERS AUX BAUX;BAUX;45050302,662840243
CHEMIN;Chemin du Cocadis Sud;DU COCADIS SUD;SUD;170730044
CHEMIN;Chemin du Collet de Rolland;DU COLLET DE ROLLAND;ROLLAND;170727020
CHEMIN;Chemin du Miougranier;DU MIOUGRANIER;MIOUGRANIER;371560747
CHEMIN;Chemin du Moulin de Crillon;DU MOULIN DE CRILLON;CRILLON;61918407
CHEMIN;Chemin du Piémont;DU PIEMONT;PIEMONT;370763945,449052280
CHEMIN;Chemin du Rougadou;DU ROUGADOU;ROUGADOU;45053575
CHEMIN;Chemin du Sablas;DU SABLAS;SABLAS;303794617
CHEMIN;Chemin du Vallat Pommet;DU VALLAT POMMET;POMMET;61939105
;Clairiere de la Bruyere;CLAIRIERE DE LA BRUYERE;BRUYERE;376754039
CLOS;Clos des Sources;DES SOURCES;SOURCES;84760390
