voie;name;name_norm;last_word_norm;ways
;Grand Rue;GRAND RUE;RUE;35953979
;Les Cypriens;LES CYPRIENS;CYPRIENS;93816734
MONTEE;Montée de l'Oratome;DE L ORATOME;ORATOME;81178239
PISTE;Piste DFCI;DFCI;DFCI;121524605,121524606,121524614,121524618,121528339,121528364,121528367,566081376,566081382,566081396
ROUTE;Route de Caseneuve;DE CASENEUVE;CASENEUVE;503527202,503527466
ROUTE;Route de Viens;DE VIENS;VIENS;26981462
RUE;Rue Cours de Ranque;COURS DE RANQUE;RANQUE;81178237
RUE;Rue Giraud;GIRAUD;GIRAUD;81178241
RUE;Rue Mise Sabine;MISE SABINE;SABINE;81178234
RUE;Rue Rompe Cul;ROMPE CUL;CUL;81178235
RUE;Rue Sacoche;SACOCHE;SACOCHE;36193401
RUE;Rue Soubeyrant;SOUBEYRANT;SOUBEYRANT;81178243
RUE;Rue Sublier;SUBLIER;SUBLIER;81178240
RUE;Rue de Viens;DE VIENS;VIENS;93816746
RUE;Rue de l'Église;DE L EGLISE;EGLISE;81178236
RUE;Rue du Brador;DU BRADOR;BRADOR;35977352,49429257
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;36192651
RUE;Rue du Four;DU FOUR;FOUR;81178233
RUE;Rue du Murier;DU MURIER;MURIER;81178238
RUE;Rue du Puy;DU PUY;PUY;81178242
;Véloroute du Calavon;VELOROUTE DU CALAVON;CALAVON;34213991
