voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Alfred Nobel;ALFRED NOBEL;NOBEL;371776556
ALLEE;Allée Florence Arthaud;FLORENCE ARTHAUD;ARTHAUD;454437249
ALLEE;Allée Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;230861774
ALLEE;Allée Marco Polo;MARCO POLO;POLO;371776557,371776558
ALLEE;Allée Pasteur;PASTEUR;PASTEUR;287770489,416540518
ALLEE;Allée Stendhal;STENDHAL;STENDHAL;330201141
ALLEE;Allée de la Source;DE LA SOURCE;SOURCE;371776560
ALLEE;Allée des Anciens Combattants;DES ANCIENS COMBATTANTS;COMBATTANTS;330201121,660247928
ALLEE;Allée des Aubépines;DES AUBEPINES;AUBEPINES;287770508
ALLEE;Allée des Genêts;DES GENETS;GENETS;64174306
ALLEE;Allée des Hortensias;DES HORTENSIAS;HORTENSIAS;287770512
ALLEE;Allée des Vignes;DES VIGNES;VIGNES;38413911
ALLEE;Allée du Godineau;DU GODINEAU;GODINEAU;287770514,287770516
ALLEE;Allée du Général Nivelle;DU GENERAL NIVELLE;NIVELLE;549577202
ALLEE;Allée du Meunier;DU MEUNIER;MEUNIER;66094659
ALLEE;Allée du Parc;DU PARC;PARC;435647724
AVENUE;Avenue Atlant'Vie;ATLANT VIE;VIE;28226207,28226208,28226209,28226211,28226212,28226213,28226214
AVENUE;Avenue de l'Europe;DE L EUROPE;EUROPE;38413914,363858211,404795764,404795765,457370121,514994690,514994691
BOULEVARD;Boulevard André Malraux;ANDRE MALRAUX;MALRAUX;38349385
BOULEVARD;Boulevard Gustave Eiffel;GUSTAVE EIFFEL;EIFFEL;62075279
BOULEVARD;Boulevard de l'Industrie;DE L INDUSTRIE;INDUSTRIE;38346287
BOULEVARD;Boulevard de la Vie;DE LA VIE;VIE;38351094
BOULEVARD;Boulevard des Chênes;DES CHENES;CHENES;37791030,230861766,230861767
BOULEVARD;Boulevard des Sauges;DES SAUGES;SAUGES;38349387
;C.E.;C E ;E;50266118
;CE 84;CE 84;84;243493596
CARREFOUR;Carrefour de la Rétière;DE LA RETIERE;RETIERE;50266127
CHEMIN;Chemin Creux;CREUX;CREUX;69890803
;Chemin Rural;CHEMIN RURAL;RURAL;58737418
CHEMIN RURAL;Chemin Rural de la Barre;DE LA BARRE;BARRE;85928723,243599714,309163905
CHEMIN RURAL;Chemin Rural de la Croisée;DE LA CROISEE;CROISEE;38414954
CHEMIN RURAL;Chemin Rural de la Mercerie;DE LA MERCERIE;MERCERIE;38346295
CHEMIN RURAL;Chemin Rural des Brosses;DES BROSSES;BROSSES;38346298,60611885
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;58723302
CHEMIN;Chemin de Chantemerle;DE CHANTEMERLE;CHANTEMERLE;58724766
CHEMIN;Chemin de L'Abroue;DE L ABROUE;ABROUE;61413405
CHEMIN;Chemin de L'Amour;DE L AMOUR;AMOUR;58701780
CHEMIN;Chemin de L'Angibaudière;DE L ANGIBAUDIERE;ANGIBAUDIERE;58701771
CHEMIN;Chemin de Mongeay;DE MONGEAY;MONGEAY;58723311
CHEMIN;Chemin de Monicq aux Rochettes;DE MONICQ AUX ROCHETTES;ROCHETTES;51327158
CHEMIN;Chemin de Sainte-Anne;DE SAINTE ANNE;ANNE;58740442
CHEMIN;Chemin de Sainte-Lucie;DE SAINTE LUCIE;LUCIE;58740443
CHEMIN;Chemin de l'Aveneau;DE L AVENEAU;AVENEAU;303245823
CHEMIN;Chemin de l'Etepe;DE L ETEPE;ETEPE;66285940
CHEMIN;Chemin de l'Ouchette;DE L OUCHETTE;OUCHETTE;309007205
CHEMIN;Chemin de la Blette;DE LA BLETTE;BLETTE;58701840
CHEMIN;Chemin de la Briardière;DE LA BRIARDIERE;BRIARDIERE;58737413,310866820
CHEMIN;Chemin de la Buttière;DE LA BUTTIERE;BUTTIERE;60407657
CHEMIN;Chemin de la Charbonnière;DE LA CHARBONNIERE;CHARBONNIERE;61414644
CHEMIN;Chemin de la Croisée;DE LA CROISEE;CROISEE;38422669,66775918
CHEMIN;Chemin de la Croisée Noire;DE LA CROISEE NOIRE;NOIRE;38422670
