voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de l'Écuperie;DE L ECUPERIE;ECUPERIE;188112626
CHEMIN;Chemin de la Bourbe;DE LA BOURBE;BOURBE;330057272
CHEMIN;Chemin de la Chicane;DE LA CHICANE;CHICANE;188112627
CHEMIN;Chemin de la Claie Guignard;DE LA CLAIE GUIGNARD;GUIGNARD;188112613
CHEMIN;Chemin de la Haute Fauconnière;DE LA HAUTE FAUCONNIERE;FAUCONNIERE;188112668
CHEMIN;Chemin de la Porterie;DE LA PORTERIE;PORTERIE;188112644
CHEMIN;Chemin du Levant;DU LEVANT;LEVANT;188112647
COUR;Cour du Vieux Puits;DU VIEUX PUITS;PUITS;289195211
;Grande Rue;GRANDE RUE;RUE;231986167
RUE;Rue Notre-Dame;NOTRE DAME;DAME;255133682
RUE;Rue de Bel-Air;DE BEL AIR;AIR;92527095
RUE;Rue de Maupertuis;DE MAUPERTUIS;MAUPERTUIS;255133684,255133686,255133687
RUE;Rue de Saint-Roch;DE SAINT ROCH;ROCH;255133689
RUE;Rue de l'Aubépine;DE L AUBEPINE;AUBEPINE;188112633
RUE;Rue de l'Auguinière;DE L AUGUINIERE;AUGUINIERE;92527101
RUE;Rue de l'Église;DE L EGLISE;EGLISE;188112612
RUE;Rue de la Croix;DE LA CROIX;CROIX;188112683
RUE;Rue de la Touche;DE LA TOUCHE;TOUCHE;92527120
RUE;Rue de la Tournemy;DE LA TOURNEMY;TOURNEMY;92527106
RUE;Rue des Ouches;DES OUCHES;OUCHES;92527123
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;330048965,330048966
RUE;Rue du Soleil Levant;DU SOLEIL LEVANT;LEVANT;255133691
VENELLE;Venelle de l'Écuperie;DE L ECUPERIE;ECUPERIE;188112682
