voie;name;name_norm;last_word_norm;ways
;10e Impasse;10E IMPASSE;IMPASSE;301028216
;1e Avenue;1E AVENUE;AVENUE;99300001
;2e Avenue;2E AVENUE;AVENUE;99300028
;3e Avenue;3E AVENUE;AVENUE;261685595
;4e Avenue;4E AVENUE;AVENUE;99305653
;5e Avenue;5E AVENUE;AVENUE;99300053
;6e Avenue;6E AVENUE;AVENUE;99300062
;7e Avenue;7E AVENUE;AVENUE;99300029
;8e Avenue;8E AVENUE;AVENUE;99300031
;9e Impasse;9E IMPASSE;IMPASSE;99300060
ALLEE;Allée D;D;PLANCHES;99269767
ALLEE;Allée E;E;CENTRE;300917642
ALLEE;Allée Erik Le Rouge;ERIK LE ROUGE;ROUGE;262529732
ALLEE;Allée Francis Drake;FRANCIS DRAKE;DRAKE;262529733
ALLEE;Allée G;G;MAUPAS;288801339
ALLEE;Allée I;I;POLO;262529736
ALLEE;Allée Jacques Cartier;JACQUES CARTIER;CARTIER;262529729,262529730,262529731
ALLEE;Allée James Cook;JAMES COOK;COOK;262529737,296755268
ALLEE;Allée Jean Bart;JEAN BART;BART;262529738,262529739
ALLEE;Allée Jean Torlane;JEAN TORLANE;TORLANE;262658623
ALLEE;Allée Marco Polo;MARCO POLO;POLO;262529734,262529735
ALLEE;Allée Maurice Ravel;MAURICE RAVEL;RAVEL;261685537
ALLEE;Allée de la Prairie;DE LA PRAIRIE;PRAIRIE;99255053
ALLEE;Allée de la Youte;DE LA YOUTE;YOUTE;262518691
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;99300016
ALLEE;Allée des Algues;DES ALGUES;ALGUES;40297781
ALLEE;Allée des Anémones;DES ANEMONES;ANEMONES;99255008
ALLEE;Allée des Baleineaux;DES BALEINEAUX;BALEINEAUX;99263206,99263237
ALLEE;Allée des Cigognes;DES CIGOGNES;CIGOGNES;183537823,300947803,524920645
ALLEE;Allée des Cols Verts;DES COLS VERTS;VERTS;261666623
ALLEE;Allée des Cormorans;DES CORMORANS;CORMORANS;99300037
ALLEE;Allée des Courlis;DES COURLIS;COURLIS;99300008
ALLEE;Allée des Dahlias;DES DAHLIAS;DAHLIAS;261758869
ALLEE;Allée des Dauphins;DES DAUPHINS;DAUPHINS;99263236
ALLEE;Allée des Ecluseaux;DES ECLUSEAUX;ECLUSEAUX;99300058
ALLEE;Allée des Frégates;DES FREGATES;FREGATES;99300033
ALLEE;Allée des Glaïeuls;DES GLAIEULS;GLAIEULS;99255030
ALLEE;Allée des Goëlands;DES GOELANDS;GOELANDS;99300057
ALLEE;Allée des Jacinthes;DES JACINTHES;JACINTHES;99254972
ALLEE;Allée des Lilas;DES LILAS;LILAS;60195971,301424532,302209876
ALLEE;Allée des Macareux;DES MACAREUX;MACAREUX;261666624
ALLEE;Allée des Magnolias;DES MAGNOLIAS;MAGNOLIAS;99254985,99255015
ALLEE;Allée des Marguerites;DES MARGUERITES;MARGUERITES;261758852
