voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin des Coutures;DES COUTURES;COUTURES;257741036
CHEMIN;Chemin du Bourg;DU BOURG;BOURG;469797381
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;614208924
IMPASSE;Impasse de l'Orée du Bourg;DE L OREE DU BOURG;BOURG;469797384
IMPASSE;Impasse de la Greffalerie;DE LA GREFFALERIE;GREFFALERIE;469797404
IMPASSE;Impasse des Acacias;DES ACACIAS;ACACIAS;469797402
IMPASSE;Impasse des Érables;DES ERABLES;ERABLES;469797387
IMPASSE;Impasse des Étangs;DES ETANGS;ETANGS;469797417
;La Ligne Verte;LA LIGNE VERTE;VERTE;59966116
PLACE;Place des Amandiers;DES AMANDIERS;AMANDIERS;230365499,230365505
ROUTE;Route de Doussay;DE DOUSSAY;DOUSSAY;54179853
ROUTE;Route de Lencloître;DE LENCLOITRE;LENCLOITRE;469797352
ROUTE;Route de Savigny;DE SAVIGNY;SAVIGNY;469797353
RUE;Rue de l'Auberderie;DE L AUBERDERIE;AUBERDERIE;54243811
RUE;Rue de la Fontaine d'Amour;DE LA FONTAINE D AMOUR;AMOUR;230365496
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;469797339
RUE;Rue des Portes;DES PORTES;PORTES;54243817
RUE;Rue des Roses;DES ROSES;ROSES;230365500,230365503,230365506
RUE;Rue du Gué de Saint-Cerin;DU GUE DE SAINT CERIN;CERIN;54243822
RUE;Rue du Lac;DU LAC;LAC;54243815
RUE;Rue du Moulin Quenet;DU MOULIN QUENET;QUENET;54179854
RUE;Rue du Stade;DU STADE;STADE;230365504
