voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;64460614
ALLEE;Allée des Amandiers;DES AMANDIERS;AMANDIERS;64460610
ALLEE;Allée des Capucins;DES CAPUCINS;CAPUCINS;41419046
ALLEE;Allée des Lilas;DES LILAS;LILAS;64460624
ALLEE;Allée des Pins;DES PINS;PINS;64460616
ALLEE;Allée des Rosiers;DES ROSIERS;ROSIERS;64460612
AVENUE;Avenue Henri Roucher;HENRI ROUCHER;ROUCHER;35541583,670678904,670678907
AVENUE;Avenue Jean Jaurès;JEAN JAURES;JAURES;637847647
AVENUE;Avenue Maurice Bailly;MAURICE BAILLY;BAILLY;55838056,178301658
AVENUE;Avenue René Baillargeon;RENE BAILLARGEON;BAILLARGEON;41418999,41419629,41419630
AVENUE;Avenue Roger Bonnet;ROGER BONNET;BONNET;68189700,328724552,328724553,670678243,670678245,670678246,670678905
AVENUE;Avenue de la Gare;DE LA GARE;GARE;41419050
BOULEVARD;Boulevard Carnot;CARNOT;CARNOT;41418996
;Carrefour;CARREFOUR;CARREFOUR;41423381,68247855
CHEMIN;Chemin d'Acadie;D ACADIE;ACADIE;64460618
CHEMIN;Chemin du Bois Dumont;DU BOIS DUMONT;DUMONT;617581808
CITE;Cité Acadie;ACADIE;ACADIE;64460611,64460615
CITE;Cité des Enclos;DES ENCLOS;ENCLOS;41419023,41419024
IMPASSE;Impasse Baillargeon;BAILLARGEON;BAILLARGEON;574328863
IMPASSE;Impasse Lamirande;LAMIRANDE;LAMIRANDE;41446045
IMPASSE;Impasse des Vergers;DES VERGERS;VERGERS;617581796
IMPASSE;Impasse du Col de Chêvre;DU COL DE CHEVRE;CHEVRE;64460622,187800587
IMPASSE;Impasse du Gros Buisson;DU GROS BUISSON;BUISSON;205212298
MONTEE;Montée du Moulin Neuf;DU MOULIN NEUF;NEUF;41419003
PLACE;Place Gambetta;GAMBETTA;GAMBETTA;41419020
PLACE;Place de Downham Market;DE DOWNHAM MARKET;MARKET;41419036,574328850
PLACE;Place de la Liberté;DE LA LIBERTE;LIBERTE;41418994
PLACE;Place du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;41419017
ROCADE;Rocade Roger Bonnet;ROGER BONNET;BONNET;205215160
ROUTE;Route de Couhé;DE COUHE;COUHE;164059640
ROUTE;Route de Limoges;DE LIMOGES;LIMOGES;637847636
ROUTE;Route de Montazais;DE MONTAZAIS;MONTAZAIS;574694082
ROUTE;Route de Roche;DE ROCHE;ROCHE;35476098
RUE;Rue Albert Hivert;ALBERT HIVERT;HIVERT;205213142
RUE;Rue André Malraux;ANDRE MALRAUX;MALRAUX;41419040
RUE;Rue André Ravarit;ANDRE RAVARIT;RAVARIT;41418992
RUE;Rue André Theuriet;ANDRE THEURIET;THEURIET;41419049
RUE;Rue Anne Frank;ANNE FRANK;FRANK;41419034
RUE;Rue Catu;CATU;CATU;41419005
RUE;Rue Downham Market;DOWNHAM MARKET;MARKET;574328848,574328853
RUE;Rue Duplessis;DUPLESSIS;DUPLESSIS;41419014,41419631
RUE;Rue Eugène Boisson;EUGENE BOISSON;BOISSON;328548312
RUE;Rue Georges Bonneau;GEORGES BONNEAU;BONNEAU;299706897
RUE;Rue Georges Gaucher;GEORGES GAUCHER;GAUCHER;41419011
RUE;Rue Gino Severini;GINO SEVERINI;SEVERINI;64460620,64460627
RUE;Rue Henri Dunant;HENRI DUNANT;DUNANT;41419001
RUE;Rue Jean Jacques Rousseau;JEAN JACQUES ROUSSEAU;ROUSSEAU;41419010
RUE;Rue Louis XIII;LOUIS XIII;XIII;41419022
RUE;Rue Marie Curie;MARIE CURIE;CURIE;41419033
RUE;Rue Maurice Grillas;MAURICE GRILLAS;GRILLAS;41419048
RUE;Rue Norbert Portejoie;NORBERT PORTEJOIE;PORTEJOIE;637847646
RUE;Rue Pablo Picasso;PABLO PICASSO;PICASSO;41419027
RUE;Rue Pierre Pestureau;PIERRE PESTUREAU;PESTUREAU;41419019
RUE;Rue René Cassin;RENE CASSIN;CASSIN;41418990,41418991
RUE;Rue René Mautret;RENE MAUTRET;MAUTRET;249131597
RUE;Rue Saint-Clementin;SAINT CLEMENTIN;CLEMENTIN;41419031,55216676
RUE;Rue Salvador Allendé;SALVADOR ALLENDE;ALLENDE;41419041
RUE;Rue Théophile;THEOPHILE;THEOPHILE;55417916,205214469
RUE;Rue Théophile Porcheron;THEOPHILE PORCHERON;PORCHERON;202403918,637847692
RUE;Rue Veuve Allemant Guyonnet;VEUVE ALLEMANT GUYONNET;GUYONNET;41419045,184129666
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;41419013,574694061
RUE;Rue Yvonne Buisson;YVONNE BUISSON;BUISSON;41419038
RUE;Rue de Bagoire;DE BAGOIRE;BAGOIRE;55417915
RUE;Rue de Chez Cailleton;DE CHEZ CAILLETON;CAILLETON;41419025
RUE;Rue de Merlebach;DE MERLEBACH;MERLEBACH;64460626
RUE;Rue de Montplaisir;DE MONTPLAISIR;MONTPLAISIR;41446043,164059643,205212300
RUE;Rue de Romansac;DE ROMANSAC;ROMANSAC;574694062
RUE;Rue de la Bilette;DE LA BILETTE;BILETTE;41446047
RUE;Rue de la Binellerie;DE LA BINELLERIE;BINELLERIE;41419029
RUE;Rue de la Blanchirie;DE LA BLANCHIRIE;BLANCHIRIE;41418993,670678241,670678244,670678248
RUE;Rue de la Commanderie;DE LA COMMANDERIE;COMMANDERIE;41419002
RUE;Rue de la Croix Saume;DE LA CROIX SAUME;SAUME;41419028
RUE;Rue de la Fraternité;DE LA FRATERNITE;FRATERNITE;41419047
RUE;Rue de la Grande Ouche;DE LA GRANDE OUCHE;OUCHE;637847693
RUE;Rue de la Lune;DE LA LUNE;LUNE;41423382,164059657,164059658
RUE;Rue de la Mongère;DE LA MONGERE;MONGERE;41419007,41419008
RUE;Rue de la Pierre du Theil;DE LA PIERRE DU THEIL;THEIL;637847676
RUE;Rue des Bons Enfants;DES BONS ENFANTS;ENFANTS;41419000
RUE;Rue des Champs Lamirande;DES CHAMPS LAMIRANDE;LAMIRANDE;41446044
RUE;Rue des Coudrais;DES COUDRAIS;COUDRAIS;41419037,665342273
RUE;Rue des Douves;DES DOUVES;DOUVES;249096542
RUE;Rue des Martinets;DES MARTINETS;MARTINETS;41419015
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;41419051
RUE;Rue des Écureuils;DES ECUREUILS;ECUREUILS;55417920
RUE;Rue du Beau Prunier;DU BEAU PRUNIER;PRUNIER;41419043
RUE;Rue du Chemin Vert;DU CHEMIN VERT;VERT;41446042,328549377
RUE;Rue du Commerce;DU COMMERCE;COMMERCE;41419016
RUE;Rue du Faubourg Senegeaud;DU FAUBOURG SENEGEAUD;SENEGEAUD;164059647,637847638
RUE;Rue du Ferrou;DU FERROU;FERROU;574694060
RUE;Rue du Hameau de Californie;DU HAMEAU DE CALIFORNIE;CALIFORNIE;202404896
RUE;Rue du Moulin Minot;DU MOULIN MINOT;MINOT;64460617
RUE;Rue du Moulin Neuf;DU MOULIN NEUF;NEUF;41419004
RUE;Rue du Pont Perrin;DU PONT PERRIN;PERRIN;41419009,67663033,67663067
RUE;Rue du Pont des Barres;DU PONT DES BARRES;BARRES;41418995,41419625,41419626,41419627,41419628
RUE;Rue du Porteau Rouge;DU PORTEAU ROUGE;ROUGE;41419006
RUE;Rue du Pré au Moulin;DU PRE AU MOULIN;MOULIN;41418998,41419044
RUE;Rue du Puits Carré;DU PUITS CARRE;CARRE;41418997
RUE;Rue du Puits Guillot;DU PUITS GUILLOT;GUILLOT;41419032
RUE;Rue du Temple;DU TEMPLE;TEMPLE;41419012
RUE;Rue du Vieux Château;DU VIEUX CHATEAU;CHATEAU;41419030
RUE;Rue la Vallée des Bas Champs;LA VALLEE DES BAS CHAMPS;CHAMPS;202404886
;Voix Communale de Civray à Saint-Saviol;VOIX COMMUNALE DE CIVRAY A SAINT SAVIOL;SAVIOL;41419042
