voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Pin;DU PIN;PIN;169455894
IMPASSE;Impasse de la Motte;DE LA MOTTE;MOTTE;436884460
IMPASSE;Impasse du Tumulus;DU TUMULUS;TUMULUS;169455895
ROUTE;Route de Villiers;DE VILLIERS;VILLIERS;436840497
RUE;Rue Saint-Hilaire;SAINT HILAIRE;HILAIRE;436884468
RUE;Rue de Chez les Gris;DE CHEZ LES GRIS;GRIS;42872676
RUE;Rue de la Mare Blanche;DE LA MARE BLANCHE;BLANCHE;169455913
RUE;Rue de la Rigourdaine;DE LA RIGOURDAINE;RIGOURDAINE;42872668
RUE;Rue de la Rétiverie;DE LA RETIVERIE;RETIVERIE;283397279
RUE;Rue des Ferrieres;DES FERRIERES;FERRIERES;436840500,436840501,436840502
RUE;Rue des Fosses à Gallien;DES FOSSES A GALLIEN;GALLIEN;436884470
RUE;Rue des Pèlerins;DES PELERINS;PELERINS;42872666
RUE;Rue des Vignes du Pigné;DES VIGNES DU PIGNE;PIGNE;42872669
RUE;Rue du Clos de la Vallée;DU CLOS DE LA VALLEE;VALLEE;170562892
RUE;Rue du Clos du Bourg;DU CLOS DU BOURG;BOURG;42872675
RUE;Rue du Meunier;DU MEUNIER;MEUNIER;437361113
RUE;Rue du Pinier;DU PINIER;PINIER;283397278
