voie;name;name_norm;last_word_norm;ways
ALLEE;Allée;;PLANTES;70426214,656934648
ALLEE;Allée Léon Pineau;LEON PINEAU;PINEAU;92867901
ALLEE;Allée de Saturne;DE SATURNE;SATURNE;92799932
ALLEE;Allée de l'Ormeau;DE L ORMEAU;ORMEAU;437044754
ALLEE;Allée de la Plaine;DE LA PLAINE;PLAINE;92867861
ALLEE;Allée des Cerfs;DES CERFS;CERFS;70426192,161385440,161385441
ALLEE;Allée des Chevreuils;DES CHEVREUILS;CHEVREUILS;70426193
ALLEE;Allée des Chênes;DES CHENES;CHENES;92867762
ALLEE;Allée des Feuillants;DES FEUILLANTS;FEUILLANTS;92868068
ALLEE;Allée des Glycines;DES GLYCINES;GLYCINES;92867807
ALLEE;Allée des Petites Chaumes;DES PETITES CHAUMES;CHAUMES;447637152
ALLEE;Allée des Plantes;DES PLANTES;PLANTES;70426210
ALLEE;Allée des Églantines;DES EGLANTINES;EGLANTINES;92867841
CHEMIN RURAL;Chemin Rural de Chaumont à Poitiers;DE CHAUMONT A POITIERS;POITIERS;63078398,215326319
CHEMIN RURAL;Chemin Rural de Fontaine-le-Comte;DE FONTAINE LE COMTE;COMTE;122089758
CHEMIN;Chemin de Bruère Chaumont;DE BRUERE CHAUMONT;CHAUMONT;92799874
CHEMIN;Chemin du Léjat;DU LEJAT;LEJAT;92782286
CLOS;Clos de Chaumont;DE CHAUMONT;CHAUMONT;161385461
ESPLANADE;Esplanade des Citoyens;DES CITOYENS;CITOYENS;92799878
HAMEAU;Hameau de la Bruère;DE LA BRUERE;BRUERE;92867879,92867941
IMPASSE;Impasse de l'Abbaye;DE L ABBAYE;ABBAYE;615154404
IMPASSE;Impasse du Bois Paris;DU BOIS PARIS;PARIS;92867779
IMPASSE;Impasse du Four;DU FOUR;FOUR;92867814
IMPASSE;Impasse du Prieuré;DU PRIEURE;PRIEURE;92867833,92867921
IMPASSE;Impasse du Ruisseau;DU RUISSEAU;RUISSEAU;615154402
;L'Aquitaine;L AQUITAINE;AQUITAINE;96655605,96655606,96655608,96655609,96655610,319341276
ROND POINT;Rond-Point de Chaumont;DE CHAUMONT;CHAUMONT;92867884
ROND POINT;Rond-Point de la Liberté;DE LA LIBERTE;LIBERTE;92867806
