voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin des Roches;DES ROCHES;ROCHES;170189233
;Grand Rue;GRAND RUE;RUE;430408504,430408505
PLACE;Place de l'Église;DE L EGLISE;EGLISE;430408506
ROUTE;Route de Lathus;DE LATHUS;LATHUS;430408507
ROUTE;Route de Moulismes;DE MOULISMES;MOULISMES;430408508
ROUTE;Route de Saint-Rémy;DE SAINT REMY;REMY;161915533
ROUTE;Route de Saulgé;DE SAULGE;SAULGE;430408509
ROUTE;Route de la Fontnadeau;DE LA FONTNADEAU;FONTNADEAU;642159556
RUE;Rue Nouvelle;NOUVELLE;REMY;170189203
RUE;Rue Sainte-Catherine;SAINTE CATHERINE;CATHERINE;430408510
RUE;Rue de la Laiterie;DE LA LAITERIE;LAITERIE;430408511
RUE;Rue des Fossés;DES FOSSES;FOSSES;430408512
RUE;Rue du Prioré;DU PRIORE;PRIORE;170189260
