voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Champs Garraud;CHAMPS GARRAUD;GARRAUD;222045660
ALLEE;Allée des Jardins;DES JARDINS;JARDINS;159099925
CHEMIN RURAL;Chemin Rural;;BOUCHET;95434953
CHEMIN;Chemin de la Maison Bouchet;DE LA MAISON BOUCHET;BOUCHET;92102981
IMPASSE;Impasse de la Vallée de Noiron;DE LA VALLEE DE NOIRON;NOIRON;371938591
IMPASSE;Impasse des Prés;DES PRES;PRES;563343476
PLACE;Place de l'Église;DE L EGLISE;EGLISE;159099922,159099924,159099932
ROUTE;Route de Luche;DE LUCHE;LUCHE;159090861
ROUTE;Route de Poitiers;DE POITIERS;POITIERS;371474135,371474136,371474138,429754883,429754885,582055101,582055102
RUE;Rue de Bourcanin;DE BOURCANIN;BOURCANIN;444972132
RUE;Rue de Pitachon;DE PITACHON;PITACHON;383669914
RUE;Rue de Thurageau;DE THURAGEAU;THURAGEAU;48493187
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;159099923
RUE;Rue de la Maison Bouchet;DE LA MAISON BOUCHET;BOUCHET;635420016
RUE;Rue de la Vallée de Noiron;DE LA VALLEE DE NOIRON;NOIRON;335248010
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;187957659
RUE;Rue des Bas de Vilaine;DES BAS DE VILAINE;VILAINE;563343478
RUE;Rue des Baudinières;DES BAUDINIERES;BAUDINIERES;159099927
RUE;Rue des Champs de Noiron;DES CHAMPS DE NOIRON;NOIRON;470097516
RUE;Rue des Demoiselles;DES DEMOISELLES;DEMOISELLES;159100583
RUE;Rue des Prés Chevalleau;DES PRES CHEVALLEAU;CHEVALLEAU;222045682
RUE;Rue des Touches;DES TOUCHES;TOUCHES;563343469
RUE;Rue du Pas Martin;DU PAS MARTIN;MARTIN;159095476
