voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Chênes;DES CHENES;CHENES;392805172
CHEMIN;Chemin des Morts;DES MORTS;MORTS;74211254
CHEMIN;Chemin des Prairies;DES PRAIRIES;PRAIRIES;403721282
CHEMIN;Chemin des Roitelets;DES ROITELETS;ROITELETS;392805173
CHEMIN;Chemin du Petit Boué;DU PETIT BOUE;BOUE;392805174
;GR de Pays du Tour d'Ambazac;GR DE PAYS DU TOUR D AMBAZAC;AMBAZAC;421774580
IMPASSE;Impasse de la Forge;DE LA FORGE;FORGE;403721281
IMPASSE;Impasse des Vignes;DES VIGNES;VIGNES;257763562
IMPASSE;Impasse du Châtaignier;DU CHATAIGNIER;CHATAIGNIER;74211294
PLACE;Place de la Poste;DE LA POSTE;POSTE;74211267
PLACE;Place de la Prugne;DE LA PRUGNE;PRUGNE;395118794,395118795
PLACE;Place du Général Thoumas;DU GENERAL THOUMAS;THOUMAS;74211261,392805175,392805179
PLACE;Place du Marronier;DU MARRONIER;MARRONIER;74211244,198661032,392805176
PLACA;Plaça de la Prugne;DE LA PRUGNE;PRUGNE;395118798
PLACA;Plaça du 8 Mai 1945;DU 8 MAI 1945;1945;395118799
PLACA;Plaça du Général Thoumas;DU GENERAL THOUMAS;THOUMAS;202525047
PLACA;Plaça du Monument aux Morts;DU MONUMENT AUX MORTS;MORTS;395118800
PONT;Pont des Peux;DES PEUX;PEUX;207651659
ROUTE;Route de Bersac;DE BERSAC;BERSAC;392805177
ROUTE;Route de Limoges;DE LIMOGES;LIMOGES;392805178
ROUTE;Route de Saint-Goussaud;DE SAINT GOUSSAUD;GOUSSAUD;74211296
ROUTE;Route de Saint-Junien à Saint-Goussaud;DE SAINT JUNIEN A SAINT GOUSSAUD;GOUSSAUD;395118801
ROUTE;Route des Bouiges;DES BOUIGES;BOUIGES;392805180
ROUTE;Route du Mascroisier;DU MASCROISIER;MASCROISIER;39637837
ROUTE;Route du Stade;DU STADE;STADE;72743435
RUE;Rue Gondinet;GONDINET;MARRONIER;74211252,395118805
RUE;Rue de Bénevent;DE BENEVENT;BENEVENT;31728473,31728477
RUE;Rue de Paradis;DE PARADIS;PARADIS;74211274
RUE;Rue de l'Ancienne Forge;DE L ANCIENNE FORGE;FORGE;143451862
RUE;Rue de la Couture;DE LA COUTURE;COUTURE;72743432
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;143451839
RUE;Rue de la Peiraubade;DE LA PEIRAUBADE;PEIRAUBADE;74211271
RUE;Rue de la Pompe;DE LA POMPE;POMPE;74211269
RUE;Rue de la Prugne;DE LA PRUGNE;PRUGNE;74211263,395118806
RUE;Rue des Allées;DES ALLEES;ALLEES;31728478,392805181
RUE;Rue des Basses Rues;DES BASSES RUES;RUES;74211286
RUE;Rue des Chênebeaux;DES CHENEBEAUX;CHENEBEAUX;74211258
RUE;Rue des Métayers;DES METAYERS;METAYERS;74211299
RUE;Rue des Pechorelles;DES PECHORELLES;PECHORELLES;143451850,143451855
RUE;Rue des Roses;DES ROSES;ROSES;143451856
RUE;Rue des Tulipes;DES TULIPES;TULIPES;143451846
RUE;Rue des Vignes;DES VIGNES;VIGNES;392805182
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;392805183
RUE;Rue du Grand Chemin Saint-Michel;DU GRAND CHEMIN SAINT MICHEL;MICHEL;392805184
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;74211292
;tanchou;TANCHOU;FORGE;198185106,667916872,667916873
