voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Battexey à Avrainville;DE BATTEXEY A AVRAINVILLE;AVRAINVILLE;424877647,424877648
CHEMIN;Chemin de Bussy;DE BUSSY;BUSSY;424877649
CHEMIN;Chemin de Chazot;DE CHAZOT;CHAZOT;424877650
CHEMIN;Chemin de Dessous les Paquis;DE DESSOUS LES PAQUIS;PAQUIS;300285831
CHEMIN;Chemin de Dessous les Vignes;DE DESSOUS LES VIGNES;VIGNES;188180488
CHEMIN;Chemin de Devant le Bois;DE DEVANT LE BOIS;BOIS;491267521,491267525,491301748
CHEMIN;Chemin de Hergugney;DE HERGUGNEY;HERGUGNEY;237946354,484385352,484385353
CHEMIN;Chemin de Hénot;DE HENOT;HENOT;424877651
CHEMIN;Chemin de Maronchamp;DE MARONCHAMP;MARONCHAMP;484472410
CHEMIN;Chemin de Matrey;DE MATREY;MATREY;484959284
CHEMIN;Chemin de la Bécasse;DE LA BECASSE;BECASSE;424877652
CHEMIN;Chemin des Champs Montants;DES CHAMPS MONTANTS;MONTANTS;424877653
CHEMIN;Chemin des Frémieys;DES FREMIEYS;FREMIEYS;424877654
CHEMIN;Chemin des Morts;DES MORTS;MORTS;491267502
CHEMIN;Chemin d’Hergugney à Germoville;D’HERGUGNEY A GERMOVILLE;GERMOVILLE;188180493
ROUTE;Route de Charmes;DE CHARMES;CHARMES;300285821,300285822
ROUTE;Route de Mirecourt;DE MIRECOURT;MIRECOURT;300285825
ROUTE;Route de Tantimont;DE TANTIMONT;TANTIMONT;188180489
RUE;Rue de la Fontaine Ronde;DE LA FONTAINE RONDE;RONDE;300285829,569229861
RUE;Rue des Vignes;DES VIGNES;VIGNES;188180492
RUE;Rue du Gué;DU GUE;GUE;300285830
RUE;Rue du Pax;DU PAX;PAX;188180104,188180105,188180109
;Tantimont;TANTIMONT;TANTIMONT;300285828
VOIE;Voie d'Hergugney à Battexey;D HERGUGNEY A BATTEXEY;BATTEXEY;300285823
VOIE;Voie de Battexey à Hergugney;DE BATTEXEY A HERGUGNEY;HERGUGNEY;300286727
VOIE;Voie de Socourt à Hergugney;DE SOCOURT A HERGUGNEY;HERGUGNEY;188180274
