voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Bouleaux;DES BOULEAUX;BOULEAUX;218422922
ALLEE;Allée des Pins;DES PINS;PINS;218370511
CHEMIN;Chemin de Gresillon;DE GRESILLON;GRESILLON;218370505
CHEMIN;Chemin de Molchamps;DE MOLCHAMPS;MOLCHAMPS;218370508
CHEMIN;Chemin de Rimbeau;DE RIMBEAU;RIMBEAU;218370507
CHEMIN;Chemin de la Baraque;DE LA BARAQUE;BARAQUE;218370509
CHEMIN;Chemin de la Bodière;DE LA BODIERE;BODIERE;218422924
CHEMIN;Chemin de la Creuse;DE LA CREUSE;CREUSE;218370504
CHEMIN;Chemin de la Poterie;DE LA POTERIE;POTERIE;260732818
CHEMIN;Chemin des Gris Journeaux;DES GRIS JOURNEAUX;JOURNEAUX;218418972
CHEMIN;Chemin du Paquis;DU PAQUIS;PAQUIS;260732817,260732821
IMPASSE;Impasse Marguelène;MARGUELENE;MARGUELENE;305164920
IMPASSE;Impasse Pré Berthe;PRE BERTHE;BERTHE;554553235
ROUTE;Route d'Autrey;D AUTREY;AUTREY;300972293
ROUTE;Route de Brû;DE BRU;BRU;60167217
ROUTE;Route de Rambervillers;DE RAMBERVILLERS;RAMBERVILLERS;304712658
ROUTE;Route de Saint-Dié;DE SAINT DIE;DIE;304712664,312265178
RUE;Rue Saint-Linguy;SAINT LINGUY;LINGUY;218418966
RUE;Rue de Larifontaine;DE LARIFONTAINE;LARIFONTAINE;304712666
RUE;Rue de Launot;DE LAUNOT;LAUNOT;304712669
RUE;Rue de Mesy;DE MESY;MESY;377698500
RUE;Rue de Moulins;DE MOULINS;MOULINS;304712670
RUE;Rue de Thiarmenil;DE THIARMENIL;THIARMENIL;218418968,312265187,517080509,517080510,517080511,517080512
RUE;Rue de l'École;DE L ECOLE;ECOLE;304712671
RUE;Rue de la Colline des Eaux;DE LA COLLINE DES EAUX;EAUX;304712672,304712673,312265189,312265190
RUE;Rue de la Gare;DE LA GARE;GARE;60167222,218422925
RUE;Rue de la Haye Baneau;DE LA HAYE BANEAU;BANEAU;218418967
RUE;Rue de la Roche des Fées;DE LA ROCHE DES FEES;FEES;218370500
RUE;Rue des Grands Prés;DES GRANDS PRES;PRES;304712674
RUE;Rue des Juifs;DES JUIFS;JUIFS;218418970
RUE;Rue des Écoles;DES ECOLES;ECOLES;218418974
RUE;Rue du Château;DU CHATEAU;CHATEAU;218370502
RUE;Rue du Clos Ferry;DU CLOS FERRY;FERRY;218418971,218418976
RUE;Rue du Guidon;DU GUIDON;GUIDON;218370512
RUE;Rue du Puits Houel;DU PUITS HOUEL;HOUEL;218418960
