voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Derrière La Ville;DERRIERE LA VILLE;VILLE;161017834
CHEMIN;Chemin Devant Le Bois;DEVANT LE BOIS;BOIS;223737367
CHEMIN;Chemin Pré Le Maire;PRE LE MAIRE;MAIRE;202867153
CHEMIN;Chemin de Monthégoutte;DE MONTHEGOUTTE;MONTHEGOUTTE;202867154,299104547
CHEMIN;Chemin de la Basse;DE LA BASSE;BASSE;301255118
CHEMIN;Chemin des Aulnés;DES AULNES;AULNES;299104549
CHEMIN;Chemin des Diligences;DES DILIGENCES;DILIGENCES;167631651
CHEMIN;Chemin des Gros Prés;DES GROS PRES;PRES;161013809
CHEMIN;Chemin des Pinasses;DES PINASSES;PINASSES;160935586
CHEMIN;Chemin du Corvelet;DU CORVELET;CORVELET;161013797
CHEMIN;Chemin du Haut Bourbier;DU HAUT BOURBIER;BOURBIER;202867150
CHEMIN;Chemin du Peulchiteux;DU PEULCHITEUX;PEULCHITEUX;167628762
CHEMIN;Chemin du Pont de la Loge;DU PONT DE LA LOGE;LOGE;161013804,299104553
CHEMIN;Chemin du Quarreau;DU QUARREAU;QUARREAU;161013796,161013806
CHEMIN;Chemin du Village;DU VILLAGE;VILLAGE;160934901
IMPASSE;Impasse de Claingoutte;DE CLAINGOUTTE;CLAINGOUTTE;299104556
IMPASSE;Impasse de Contramoulin;DE CONTRAMOULIN;CONTRAMOULIN;301255119
IMPASSE;Impasse de la Gare;DE LA GARE;GARE;299104558
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;156524521
IMPASSE;Impasse du Village;DU VILLAGE;VILLAGE;301255120
PONT;Pont de la Loge;DE LA LOGE;LOGE;167628756
ROUTE;Route d'Entre Deux Eaux;D ENTRE DEUX EAUX;EAUX;168882049
ROUTE;Route de Mardichamp;DE MARDICHAMP;MARDICHAMP;299104563,299104565
ROUTE;Route de Sarupt;DE SARUPT;SARUPT;299104567
ROUTE;Route de Saulcy;DE SAULCY;SAULCY;218135891
ROUTE;Route de la Bellegoutte;DE LA BELLEGOUTTE;BELLEGOUTTE;202867145
ROUTE;Route des Tuileries;DES TUILERIES;TUILERIES;202867156
ROUTE;Route du Palmont;DU PALMONT;PALMONT;167631643
ROUTE;Route du Pré de Lierre;DU PRE DE LIERRE;LIERRE;202867143
ROUTE;Route du Village;DU VILLAGE;VILLAGE;160934895
RUE;Rue Pierre et Marie Curie;PIERRE ET MARIE CURIE;CURIE;150650345
RUE;Rue d'Alsace;D ALSACE;ALSACE;218157948
RUE;Rue de Claingoutte;DE CLAINGOUTTE;CLAINGOUTTE;167632420
RUE;Rue de Girompaire;DE GIROMPAIRE;GIROMPAIRE;124752151
RUE;Rue de Lorraine;DE LORRAINE;LORRAINE;31689810,33699002,156524467,156524475,234159204,234159205,289339596
RUE;Rue de Ribeaupierre;DE RIBEAUPIERRE;RIBEAUPIERRE;299104569
RUE;Rue de Saint-Dié;DE SAINT DIE;DIE;337028241
RUE;Rue de l'Église;DE L EGLISE;EGLISE;156524476,156524502,156524509,219579665,219579667
RUE;Rue de l'Étang;DE L ETANG;ETANG;234159206
RUE;Rue de la Gare;DE LA GARE;GARE;156524503,156524505,156524518
RUE;Rue de la Meurthe;DE LA MEURTHE;MEURTHE;219579670,219579680,299104571
RUE;Rue des Champs;DES CHAMPS;CHAMPS;299104572
RUE;Rue des Ecayots;DES ECAYOTS;ECAYOTS;156524549
RUE;Rue des Jardins;DES JARDINS;JARDINS;156524547
RUE;Rue des Marguerites;DES MARGUERITES;MARGUERITES;202867155
RUE;Rue du 6 Juin 1944;DU 6 JUIN 1944;1944;161017807,161017811
RUE;Rue du Globe;DU GLOBE;GLOBE;223155222
RUE;Rue du Moulin;DU MOULIN;MOULIN;156524504
RUE;Rue du Pré Chapy;DU PRE CHAPY;CHAPY;161017805,161017818
RUE;Rue du Pré Moulin;DU PRE MOULIN;MOULIN;156524541
RUE;Rue du Vagodel;DU VAGODEL;VAGODEL;299104573
VOIE;Voie Verte de la Haute Meurthe;VERTE DE LA HAUTE MEURTHE;MEURTHE;244794043,498653881
