voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Basse des Vignes;BASSE DES VIGNES;VIGNES;152502073
ALLEE;Allée Haute des Vignes;HAUTE DES VIGNES;VIGNES;301565886
ALLEE;Allée des Gouttes;DES GOUTTES;GOUTTES;101152126,101152133,101152140,204422455
ALLEE;Allée du Plateau Saint-Maurice;DU PLATEAU SAINT MAURICE;MAURICE;152502047,304703875,312141534,312141535,312141536,312141537
AVENUE;Avenue Princesse Charlotte de Salm;PRINCESSE CHARLOTTE DE SALM;SALM;101152131
AVENUE;Avenue de Salm;DE SALM;SALM;100144648,100144660,312103981
AVENUE;Avenue du 22 Novembre;DU 22 NOVEMBRE;NOVEMBRE;304692268
AVENUE;Avenue du Maréchal Foch;DU MARECHAL FOCH;FOCH;100275414
CHEMIN;Chemin de Celles Sur Plaine à Senones;DE CELLES SUR PLAINE A SENONES;SENONES;258813041
CHEMIN;Chemin de la Corvée;DE LA CORVEE;CORVEE;152501984,301565887
CHEMIN;Chemin de la Petite Forain;DE LA PETITE FORAIN;FORAIN;152668101
CHEMIN;Chemin de la Promenade;DE LA PROMENADE;PROMENADE;304755958,304755960
CHEMIN;Chemin des Mélèzes;DES MELEZES;MELEZES;147176192
CHEMIN;Chemin des Soeurs;DES SOEURS;SOEURS;378371128
IMPASSE;Impasse des Castors;DES CASTORS;CASTORS;304754758
;Le Senneçon;LE SENNECON;SENNECON;100275415
LOTISSEMENT;Lotissement Colline Le Mentrelé;COLLINE LE MENTRELE;MENTRELE;204422470
PASSAGE;Passage Charretier;CHARRETIER;POINCARE;100275398
PLACE;Place Charles Thumann;CHARLES THUMANN;THUMANN;152502021,240528215,312129224
PLACE;Place Clemenceau;CLEMENCEAU;BATAILLON;100275400,204362303
PLACE;Place Dom Calmet;DOM CALMET;CALMET;204362292,204362304,312103983
PLACE;Place Général Leclerc;GENERAL LECLERC;LECLERC;120400812
PLACE;Place Jeanne d'Arc;JEANNE D ARC;ARC;204362308
PLACE;Place Pierre Larue;PIERRE LARUE;LARUE;204362309
PLACE;Place Vautrin;VAUTRIN;BATAILLON;100275402,100275411
QUAI;Quai Jules Ferry;JULES FERRY;FERRY;204362311
ROUTE;Route d'Ortomont;D ORTOMONT;ORTOMONT;312129249
ROUTE;Route de Ménil;DE MENIL;MENIL;101152129
ROUTE;Route de Saint-Maurice;DE SAINT MAURICE;MAURICE;101178583
ROUTE;Route de Vieux-Moulin;DE VIEUX MOULIN;MOULIN;304754759
ROUTE;Route de la Forain;DE LA FORAIN;FORAIN;304692275
RUE;Rue Abel Ferry;ABEL FERRY;FERRY;100289925,100289927,100289931
RUE;Rue Alice Munier;ALICE MUNIER;MUNIER;204362306
RUE;Rue Charles Claudel;CHARLES CLAUDEL;CLAUDEL;101152139
RUE;Rue Charles Vincent;CHARLES VINCENT;VINCENT;204362307
RUE;Rue Constant Verlot;CONSTANT VERLOT;VERLOT;100275407
RUE;Rue Gendarme Christian Meyer;GENDARME CHRISTIAN MEYER;MEYER;517363957
RUE;Rue Jean Aurange;JEAN AURANGE;AURANGE;301565898
RUE;Rue Mallens;MALLENS;FERRY;100289926
RUE;Rue Monseigneur Curien;MONSEIGNEUR CURIEN;CURIEN;101152130,152668074
RUE;Rue Solange Vigneron;SOLANGE VIGNERON;VIGNERON;101152132
RUE;Rue de L'Auviot;DE L AUVIOT;AUVIOT;101152135,312113989
RUE;Rue de Malfosse;DE MALFOSSE;MALFOSSE;100289928
RUE;Rue de Saint-Maurice;DE SAINT MAURICE;MAURICE;100974506
RUE;Rue de Verdun;DE VERDUN;VERDUN;152501981
RUE;Rue de l'Avenir;DE L AVENIR;AVENIR;152502041,152502055
RUE;Rue de la Basse Forain;DE LA BASSE FORAIN;FORAIN;152502075
RUE;Rue de la Déportation;DE LA DEPORTATION;DEPORTATION;301565899
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;312129228
RUE;Rue de la Glacière;DE LA GLACIERE;GLACIERE;152502098
RUE;Rue de la Libération;DE LA LIBERATION;LIBERATION;481234535
RUE;Rue de la Roche Mère Henry;DE LA ROCHE MERE HENRY;HENRY;100289932
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;100275409,304692276
RUE;Rue de la Tuilerie;DE LA TUILERIE;TUILERIE;204362313
RUE;Rue des 3 Cités;DES 3 CITES;CITES;101152134
RUE;Rue des Fusillés;DES FUSILLES;FUSILLES;228140662
RUE;Rue des Thieuls;DES THIEULS;THIEULS;100275395
RUE;Rue du 1er Bataillon;DU 1ER BATAILLON;BATAILLON;100275399
RUE;Rue du Baron Seillière;DU BARON SEILLIERE;SEILLIERE;101154144
RUE;Rue du Bouverot;DU BOUVEROT;BOUVEROT;101178584
RUE;Rue du Breuil;DU BREUIL;BREUIL;152501969,517363953,517363954,517363956
RUE;Rue du Château;DU CHATEAU;CHATEAU;301565906,312129230,312129231
