voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du Plateau Saint-Maurice;DU PLATEAU SAINT MAURICE;MAURICE;304703875
CHEMIN;Chemin de la Chapelle;DE LA CHAPELLE;CHAPELLE;312129226
CHEMIN;Chemin de la Corvée;DE LA CORVEE;CORVEE;304580008
;Le Senneçon;LE SENNECON;SENNECON;100275415
ROUTE;Route d'Ortomont;D ORTOMONT;ORTOMONT;312129249
ROUTE;Route de La Petite-Raon;DE LA PETITE RAON;RAON;304580014
ROUTE;Route de Vieux-Moulin;DE VIEUX MOULIN;MOULIN;304754759
ROUTE;Route de l'Église;DE L EGLISE;EGLISE;100974505
RUE;Rue de Saint-Maurice;DE SAINT MAURICE;MAURICE;100974506
RUE;Rue de Verdun;DE VERDUN;VERDUN;152501981
RUE;Rue de Vieux Moulin;DE VIEUX MOULIN;MOULIN;100974508
RUE;Rue de la Déportation;DE LA DEPORTATION;DEPORTATION;101154139
RUE;Rue des Buissons;DES BUISSONS;BUISSONS;203438140
RUE;Rue du Centre;DU CENTRE;CENTRE;100974511,101178585
RUE;Rue du Plateau Saint-Maurice;DU PLATEAU SAINT MAURICE;MAURICE;304703871
RUE;Rue du Senneçon;DU SENNECON;SENNECON;100974515
