voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Quatre Vents;DES QUATRE VENTS;VENTS;131734637
ALLEE;Allée du Château;DU CHATEAU;CHATEAU;283159152
AVENUE;Avenue du Val de Baulches;DU VAL DE BAULCHES;BAULCHES;172498418
CHEMIN;Chemin Pentu;PENTU;CHATEAU;249417487
CHEMIN;Chemin de Beaulieu;DE BEAULIEU;BEAULIEU;131734633,131734642
CHEMIN;Chemin de Laborde;DE LABORDE;LABORDE;317130772
CHEMIN;Chemin de la Barbotière;DE LA BARBOTIERE;BARBOTIERE;283159153
CHEMIN;Chemin de la Croix Saint-Laurent;DE LA CROIX SAINT LAURENT;LAURENT;317130773
CHEMIN;Chemin de la Ferme;DE LA FERME;FERME;289215548
CHEMIN;Chemin de la Mothe;DE LA MOTHE;MOTHE;249417489
CHEMIN;Chemin des Boulats;DES BOULATS;BOULATS;249417524
CHEMIN;Chemin des Caves;DES CAVES;CAVES;363555217
CHEMIN;Chemin des Converts;DES CONVERTS;CONVERTS;131736468
CHEMIN;Chemin des Courtes Raies;DES COURTES RAIES;RAIES;131736465
CHEMIN;Chemin des Huilliers;DES HUILLIERS;HUILLIERS;249417516
CHEMIN;Chemin des Pierres;DES PIERRES;PIERRES;363555218
CHEMIN;Chemin des Prés Ronds;DES PRES RONDS;RONDS;289215553
CHEMIN;Chemin des Remparts;DES REMPARTS;REMPARTS;131734631
CHEMIN;Chemin du Château;DU CHATEAU;CHATEAU;249372296
CHEMIN;Chemin du Lavoir;DU LAVOIR;LAVOIR;283159154
CHEMIN;Chemin du Lavoir d'Orgy;DU LAVOIR D ORGY;ORGY;131736469
IMPASSE;Impasse Fleurie;FLEURIE;PIERRES;363555220
IMPASSE;Impasse de la Chapelle;DE LA CHAPELLE;CHAPELLE;363555221
IMPASSE;Impasse de la Sablonnière;DE LA SABLONNIERE;SABLONNIERE;172498427
IMPASSE;Impasse des Hirondelles;DES HIRONDELLES;HIRONDELLES;317130776
IMPASSE;Impasse des Maillots;DES MAILLOTS;MAILLOTS;363555224
IMPASSE;Impasse du Calvaire;DU CALVAIRE;CALVAIRE;131734632
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;363555226
PLACE;Place Barbara;BARBARA;CEPS;131734620,131734644
PLACE;Place Saint-Barthélémy;SAINT BARTHELEMY;BARTHELEMY;549170188
PLACE;Place du Lavoir de Serein;DU LAVOIR DE SEREIN;SEREIN;249417510
PROMENADE;Promenade des Prairies;DES PRAIRIES;PRAIRIES;317130777
ROUTE;Route d'Irly;D IRLY;IRLY;97989785,524150544,524150545
ROUTE;Route de Boiloup;DE BOILOUP;BOILOUP;131734640
ROUTE;Route de Ribourdin;DE RIBOURDIN;RIBOURDIN;5196978
ROUTE;Route de la Biche;DE LA BICHE;BICHE;131734629
ROUTE;Route de la Fermière;DE LA FERMIERE;FERMIERE;97989650,283159156,317130779,524150547,609934966
ROUTE;Route de la Tuilerie;DE LA TUILERIE;TUILERIE;363555228
RUE;Rue Georges Brassens;GEORGES BRASSENS;BRASSENS;283159157
RUE;Rue Jacques Brel;JACQUES BREL;BREL;131734622,131734627,131734636
RUE;Rue Porte d'en Bas;PORTE D EN BAS;BAS;142045493,283159158,577560837,609766876,609934978
RUE;Rue Porte d'en Haut;PORTE D EN HAUT;HAUT;283159159,577560586
RUE;Rue de Baulches;DE BAULCHES;BAULCHES;131734624,283159160
RUE;Rue de Champ Clos;DE CHAMP CLOS;CLOS;184322195
RUE;Rue de Fontaine Madame;DE FONTAINE MADAME;MADAME;131734623
RUE;Rue de Glycines;DE GLYCINES;GLYCINES;172498492
RUE;Rue de Laborde;DE LABORDE;LABORDE;317130782
RUE;Rue de Vignottes;DE VIGNOTTES;VIGNOTTES;317130783
RUE;Rue de l'Étang Jussier;DE L ETANG JUSSIER;JUSSIER;70914174
RUE;Rue de la Chapelle de Serein;DE LA CHAPELLE DE SEREIN;SEREIN;173583269
RUE;Rue de la Fermière;DE LA FERMIERE;FERMIERE;317130778
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;184322235
RUE;Rue de la Gare;DE LA GARE;GARE;97989732
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;98201363
RUE;Rue de la Source;DE LA SOURCE;SOURCE;317130784
RUE;Rue de la Terre aux Moines;DE LA TERRE AUX MOINES;MOINES;131736466
RUE;Rue de la Tour;DE LA TOUR;TOUR;317130785
RUE;Rue de la Vau Derrière;DE LA VAU DERRIERE;DERRIERE;283159161,283159162
RUE;Rue de la Villotte;DE LA VILLOTTE;VILLOTTE;172498448
RUE;Rue des Ceps;DES CEPS;CEPS;131734618,131734647
RUE;Rue des Dames;DES DAMES;DAMES;188726169,283159164
RUE;Rue des Fontenelles;DES FONTENELLES;FONTENELLES;363555232
RUE;Rue des Mésanges;DES MESANGES;MESANGES;317130786
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;317130788
RUE;Rue des Vignes;DES VIGNES;VIGNES;283159165
RUE;Rue des Écoles;DES ECOLES;ECOLES;131734645
RUE;Rue du Bourru;DU BOURRU;BOURRU;131734628
RUE;Rue du Château Gaillard;DU CHATEAU GAILLARD;GAILLARD;283159166,609934969
RUE;Rue du Grand Chais;DU GRAND CHAIS;CHAIS;131734643
RUE;Rue du Moulin;DU MOULIN;MOULIN;289215556
RUE;Rue du Moulin Brulé;DU MOULIN BRULE;BRULE;207359173
RUE;Rue du Moulin à Vent;DU MOULIN A VENT;VENT;317130789
RUE;Rue du Petit Chais;DU PETIT CHAIS;CHAIS;283159167
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;131734635,609934973,609934976
RUE;Rue du Pressoir;DU PRESSOIR;PRESSOIR;283159168
RUE;Rue du Puits du Four;DU PUITS DU FOUR;FOUR;97989803
SQUARE;Square de Baulches;DE BAULCHES;BAULCHES;283159169
