voie;name;name_norm;last_word_norm;ways
AIRE;Aire des Pâtures;DES PATURES;PATURES;475336581
ALLEE;Allée de Noailles;DE NOAILLES;NOAILLES;61008644
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;60681295,60988776
CHEMIN;Chemin d'Auvergne à Fleury;D AUVERGNE A FLEURY;FLEURY;60438442
CHEMIN;Chemin de Charbuy;DE CHARBUY;CHARBUY;61008648
CHEMIN;Chemin de Courault;DE COURAULT;COURAULT;248139691
CHEMIN;Chemin de l'Ancien Chemin de Fer d'Aillant à Fleury;DE L ANCIEN CHEMIN DE FER D AILLANT A FLEURY;FLEURY;60993575
CHEMIN;Chemin de la Belle Pierre;DE LA BELLE PIERRE;PIERRE;60437477
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;61007955
CHEMIN;Chemin des Buttes;DES BUTTES;BUTTES;281829596
CHEMIN;Chemin des Frechots;DES FRECHOTS;FRECHOTS;61008641
CHEMIN;Chemin des Obtards;DES OBTARDS;OBTARDS;60437967
CHEMIN;Chemin des Prés;DES PRES;PRES;61007976
CHEMIN;Chemin des Prés de Luchy;DES PRES DE LUCHY;LUCHY;60437857
CHEMIN;Chemin des Vignots;DES VIGNOTS;VIGNOTS;620467332
CHEMIN;Chemin du Denizain;DU DENIZAIN;DENIZAIN;281829597
CHEMIN;Chemin du Lavoir de la Motte;DU LAVOIR DE LA MOTTE;MOTTE;61007967
;Grande Rue;GRANDE RUE;RUE;61007962,61007973
IMPASSE;Impasse Chenard;CHENARD;CHENARD;248139690
IMPASSE;Impasse de la Croix Buissée;DE LA CROIX BUISSEE;BUISSEE;298282413
IMPASSE;Impasse du Presbytère;DU PRESBYTERE;PRESBYTERE;61007971
PLACE;Place de l'Église;DE L EGLISE;EGLISE;61007975,516403961,516403962
ROUTE;Route d'Aillant;D AILLANT;AILLANT;61007970,363156445
ROUTE;Route d'Appoigny;D APPOIGNY;APPOIGNY;55423365,430785512,430785513
ROUTE;Route d'Auxerre;D AUXERRE;AUXERRE;61008645
ROUTE;Route de Bleury;DE BLEURY;BLEURY;61008643
ROUTE;Route de Joigny;DE JOIGNY;JOIGNY;60629341
ROUTE;Route de Poilly;DE POILLY;POILLY;55423357,516403960
RUE;Rue Neuve;NEUVE;NEUVE;61007963,281829780
RUE;Rue aux Prêtres;AUX PRETRES;PRETRES;61007965
RUE;Rue d'Orléans;D ORLEANS;ORLEANS;55423358,544164423,544164426
RUE;Rue de l'Ancienne Gare;DE L ANCIENNE GARE;GARE;61007966
RUE;Rue de l'Église;DE L EGLISE;EGLISE;281829598
RUE;Rue de la Croix Buissée;DE LA CROIX BUISSEE;BUISSEE;61007961,363156448
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;61008647
RUE;Rue de la Motte;DE LA MOTTE;MOTTE;61007959
RUE;Rue de la Petite Motte;DE LA PETITE MOTTE;MOTTE;61007964
RUE;Rue des Vignes;DES VIGNES;VIGNES;281829599
RUE;Rue du Césoy;DU CESOY;CESOY;61007974
RUE;Rue du Moulin Seurat;DU MOULIN SEURAT;SEURAT;281829781
RUELLE;Ruelle de Branches;DE BRANCHES;BRANCHES;171836215
RUELLE;Ruelle de Villemer;DE VILLEMER;VILLEMER;61007960
RUELLE;Ruelle de l'Église;DE L EGLISE;EGLISE;61007969
RUELLE;Ruelle des Jardins;DES JARDINS;JARDINS;248139300
RUELLE;Ruelle du Denizain;DU DENIZAIN;DENIZAIN;61008642
RUELLE;Ruelle du Four de la Ronce;DU FOUR DE LA RONCE;RONCE;61007968
