voie;name;name_norm;last_word_norm;ways
;Aqueduc de la Vanne;AQUEDUC DE LA VANNE;VANNE;629807465
CHAUSSEE;Chaussée de l'Yonne;DE L YONNE;YONNE;27031428
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;308357414,643947123
CHEMIN;Chemin de Pont-sur-Yonne;DE PONT SUR YONNE;YONNE;187710174,667397951
CHEMIN;Chemin de Ronde;DE RONDE;RONDE;170349668,308357421
CHEMIN;Chemin des Fossés du Levant;DES FOSSES DU LEVANT;LEVANT;267258273
CHEMIN;Chemin des Fossés du Nord;DES FOSSES DU NORD;NORD;267258275
CHEMIN;Chemin des Planches;DES PLANCHES;PLANCHES;161870356
CHEMIN;Chemin des Pêcheurs;DES PECHEURS;PECHEURS;170349669
CHEMIN;Chemin des Savetiers;DES SAVETIERS;SAVETIERS;308357424
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;267258276
;Grande Rue;GRANDE RUE;RUE;267258279,267258280,267258281
ROUTE;Route de Gisy;DE GISY;GISY;222271890
RUE;Rue Saint-Pregts;SAINT PREGTS;PREGTS;170347402,267258285
RUE;Rue Sainte-Marie;SAINTE MARIE;MARIE;170348681
RUE;Rue de l'Oreuse;DE L OREUSE;OREUSE;267258286,267258287,267474998,267475000
RUE;Rue de la Cloix;DE LA CLOIX;CLOIX;170349664
RUE;Rue de la Reine;DE LA REINE;REINE;308357446
RUE;Rue de la Volée du Pigeon Blanc;DE LA VOLEE DU PIGEON BLANC;BLANC;267258288
RUE;Rue des Corcolons;DES CORCOLONS;CORCOLONS;267258289
RUE;Rue des Marais;DES MARAIS;MARAIS;170349663
RUE;Rue des Moulins;DES MOULINS;MOULINS;170349672
RUE;Rue du Bardeau;DU BARDEAU;BARDEAU;170349667
RUE;Rue du Château;DU CHATEAU;CHATEAU;170349670,170349673,267258290,267258291,267259061
RUE;Rue du Culrond;DU CULROND;CULROND;170348679,267258292
RUE;Rue du Gué;DU GUE;GUE;308357451
RUE;Rue du Ponceau;DU PONCEAU;PONCEAU;170349662,308357455
VOIE;Voie de la Nuatte;DE LA NUATTE;NUATTE;308357458,308357465
VOIE;Voie du Cimetière;DU CIMETIERE;CIMETIERE;267259060
