voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Saint-Bonnet;DE SAINT BONNET;BONNET;192434059
CHEMIN;Chemin de l'Echellier;DE L ECHELLIER;ECHELLIER;207218962
CHEMIN;Chemin des Hâtes;DES HATES;HATES;550692904
;Grand Rue;GRAND RUE;RUE;236050916
;Le Moulin;LE MOULIN;MOULIN;207218994
LIGNE;Ligne de Triguères à Surgy;DE TRIGUERES A SURGY;SURGY;477557709
PLACE;Place du 8 Mai 1945;DU 8 MAI 1945;1945;637128624,637128625
ROUTE;Route de l'Ancienne Gare;DE L ANCIENNE GARE;GARE;356815576,662282504
RUE;Rue Bellevue;BELLEVUE;MESSE;192434054
RUE;Rue Matelain;MATELAIN;MESSE;192434055
RUE;Rue aux Boisseaux;AUX BOISSEAUX;BOISSEAUX;192434047
RUE;Rue de la Forterre;DE LA FORTERRE;FORTERRE;192434048
RUE;Rue de la Messe;DE LA MESSE;MESSE;192434052
RUE;Rue de la Puisaye;DE LA PUISAYE;PUISAYE;235115366
RUE;Rue des Champs Boison;DES CHAMPS BOISON;BOISON;192434049
RUE;Rue du Bourgelet;DU BOURGELET;BOURGELET;207218989
RUE;Rue du Poirier au Diable;DU POIRIER AU DIABLE;DIABLE;192434057
RUELLE;Ruelle de l'Église;DE L EGLISE;EGLISE;192434050
