voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Galifranc;GALIFRANC;CHATEAU;81694729
AVENUE;Avenue de Chablis;DE CHABLIS;CHABLIS;81646051,538600937,538600940
AVENUE;Avenue de la Marou;DE LA MAROU;MAROU;121146920,121146921
AVENUE;Avenue de la Noue Marou;DE LA NOUE MAROU;MAROU;81646047
AVENUE;Avenue du Mez;DU MEZ;MEZ;81694756
CHEMIN;Chemin Colmière;COLMIERE;LAVOIR;81650206,317162969,317162970
CHEMIN;Chemin Privé;PRIVE;MAROU;289562266
CHEMIN;Chemin d'exploitation;D EXPLOITATION;EXPLOITATION;84450239
CHEMIN;Chemin de Rebourseaux à Chéu;DE REBOURSEAUX A CHEU;CHEU;84450372
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;84450222,84450353
CHEMIN;Chemin de la Forêt;DE LA FORET;FORET;84450259
CHEMIN;Chemin de la Moullière;DE LA MOULLIERE;MOULLIERE;107537773
CHEMIN;Chemin de la Vallée aux Fourmis;DE LA VALLEE AUX FOURMIS;FOURMIS;84450216
CHEMIN;Chemin des Champs;DES CHAMPS;CHAMPS;81650214
CHEMIN;Chemin des Sureaux;DES SUREAUX;SUREAUX;81650201
CHEMIN;Chemin des Troncs;DES TRONCS;TRONCS;414274112
CHEMIN;Chemin dit de Saint-Edme;DIT DE SAINT EDME;EDME;85048637
CHEMIN;Chemin dit de la Bonde;DIT DE LA BONDE;BONDE;84450211
CHEMIN;Chemin dit de la Hare de Siselle;DIT DE LA HARE DE SISELLE;SISELLE;84450223
CHEMIN;Chemin dit du Bas de la Haie de Siselle;DIT DU BAS DE LA HAIE DE SISELLE;SISELLE;84450242
CHEMIN;Chemin du Champ de la Raisonne;DU CHAMP DE LA RAISONNE;RAISONNE;84450414,546661774
CHEMIN;Chemin du Château;DU CHATEAU;CHATEAU;81694726
CHEMIN;Chemin du Cimetière;DU CIMETIERE;CIMETIERE;81650207
CHEMIN;Chemin du Tour de Ville;DU TOUR DE VILLE;VILLE;81694770
CHEMIN RURAL;Chemin rural dit du Tremble;DIT DU TREMBLE;TREMBLE;85048636
CHEMIN RURAL;Chemin rural du Champ Charron;DU CHAMP CHARRON;CHARRON;84450330
GRANDE RUE;Grande Rue;;VICOMTE;81646057,81646062,384349338,384349342,384349344,384349347
IMPASSE;Impasse Vaubertin;VAUBERTIN;CIMETIERE;81650210
IMPASSE;Impasse de Haie de Siselle;DE HAIE DE SISELLE;SISELLE;84450387
IMPASSE;Impasse de la Fontaine;DE LA FONTAINE;FONTAINE;81637854
IMPASSE;Impasse de la Mare;DE LA MARE;MARE;81639971
IMPASSE;Impasse des Trois Rois;DES TROIS ROIS;ROIS;551261379
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;81639970
IMPASSE;Impasse du Puits;DU PUITS;PUITS;81639975
LIGNE;Ligne de Saint-Florentin - Vergigny à Monéteau - Gurgy;DE SAINT FLORENTIN   VERGIGNY A MONETEAU   GURGY;GURGY;84450289,501466432,501466433,546661777
PASSAGE;Passage du Midi;DU MIDI;MIDI;81646079
PASSAGE;Passage du Nord;DU NORD;NORD;81646058
PETITE RUE;Petite Rue;;MEZ;81694760
PORTE;Porte de Saint-Florentin;DE SAINT FLORENTIN;FLORENTIN;81694721
ROUTE;Route Nationale;NATIONALE;VEZELAY;36262251,222880252,289562277
ROUTE;Route de Chéu;DE CHEU;CHEU;81637853,174889997,174890001,605673103
ROUTE;Route de Varennes;DE VARENNES;VARENNES;81694735,373325073
RUE;Rue Beauregard;BEAUREGARD;GUERE;81694768
RUE;Rue Guy Dupas;GUY DUPAS;DUPAS;81646068
RUE;Rue Maison Dieu;MAISON DIEU;DIEU;81646065
RUE;Rue Montante;MONTANTE;FONTAINE;81637855
RUE;Rue Notre-Dame;NOTRE DAME;DAME;81646070
RUE;Rue Tard Tu en Boiras;TARD TU EN BOIRAS;BOIRAS;81694716
RUE;Rue Traversière;TRAVERSIERE;CAGEOT;81646061
RUE;Rue de Ligny-Le-Châtel;DE LIGNY LE CHATEL;CHATEL;107537774
RUE;Rue de Lordonnois;DE LORDONNOIS;LORDONNOIS;81639972
RUE;Rue de Méré;DE MERE;MERE;317116353
RUE;Rue de Pontigny;DE PONTIGNY;PONTIGNY;81639976
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;81637858
RUE;Rue de l'Est;DE L EST;EST;81646063
RUE;Rue de l'Étang de la Reine;DE L ETANG DE LA REINE;REINE;81694742
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;344074884
RUE;Rue de la Moullière;DE LA MOULLIERE;MOULLIERE;107537771
RUE;Rue de la Reine de Sicile;DE LA REINE DE SICILE;SICILE;81646043
RUE;Rue de la Tuilerie;DE LA TUILERIE;TUILERIE;81637859,344074885
RUE;Rue de la Vicomte;DE LA VICOMTE;VICOMTE;81646055
RUE;Rue des Anciens Combattant d'Algèrie 1952-1962;DES ANCIENS COMBATTANT D ALGERIE 1952 1962;1962;81694739
RUE;Rue des Bordes;DES BORDES;BORDES;81694748,81694776
RUE;Rue des Chappes Guère;DES CHAPPES GUERE;GUERE;81694763
RUE;Rue des Fossés;DES FOSSES;FOSSES;81646042
RUE;Rue des Foulons;DES FOULONS;FOULONS;81228087
RUE;Rue des Juifs;DES JUIFS;JUIFS;81646074
