voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Chaumont;DE CHAUMONT;CHAUMONT;307347552,307347553
CHEMIN;Chemin de Foissy à Vézelay;DE FOISSY A VEZELAY;VEZELAY;336522812
CHEMIN;Chemin de Fontenay à Saint-Père;DE FONTENAY A SAINT PERE;PERE;161601540,201386084,543195150
CHEMIN;Chemin de Saint-Christophe;DE SAINT CHRISTOPHE;CHRISTOPHE;307347551
CHEMIN;Chemin de Saint-Père à Fontenay;DE SAINT PERE A FONTENAY;FONTENAY;312406569
CHEMIN;Chemin de Vaufron à Vézelay;DE VAUFRON A VEZELAY;VEZELAY;228852738
CHEMIN;Chemin de Vézelay à Saint-Père;DE VEZELAY A SAINT PERE;PERE;76858201,307347556,307347559,543195151
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;76858212,76858221
CHEMIN;Chemin des Arpents;DES ARPENTS;ARPENTS;307347550,307347555
CHEMIN;Chemin du Lavoir;DU LAVOIR;LAVOIR;231697628,442105810
CHEMIN;Chemin du Plan Barbet;DU PLAN BARBET;BARBET;660163236
;Grande Rue;GRANDE RUE;RUE;161487517,657381893,657381897
IMPASSE;Impasse des Amendiers;DES AMENDIERS;AMENDIERS;307340332
IMPASSE;Impasse du Puits Marceau;DU PUITS MARCEAU;MARCEAU;551409911
ROUTE;Route de Fontette;DE FONTETTE;FONTETTE;442105811
ROUTE;Route de Nanchèvres;DE NANCHEVRES;NANCHEVRES;292609324
ROUTE;Route de Saint-Père;DE SAINT PERE;PERE;442105812
ROUTE;Route de Vézelay;DE VEZELAY;VEZELAY;137882340
RUE;Rue Derrière Le Moulin;DERRIERE LE MOULIN;MOULIN;245624084
RUE;Rue Dessus les Fossès;DESSUS LES FOSSES;FOSSES;287444957
RUE;Rue Varet;VARET;VARET;245624087
RUE;Rue de l'Abbé Pissier;DE L ABBE PISSIER;PISSIER;314126762,361934085,542741830
RUE;Rue de la Bergerie;DE LA BERGERIE;BERGERIE;442105813
RUE;Rue de la Brèche;DE LA BRECHE;BRECHE;245624088
RUE;Rue de la Cave Pillon;DE LA CAVE PILLON;PILLON;292602488
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;292602489,292602491
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;292609325
RUE;Rue de la Traversière;DE LA TRAVERSIERE;TRAVERSIERE;231697620
RUE;Rue des Clours;DES CLOURS;CLOURS;292609326
RUE;Rue des Pierres;DES PIERRES;PIERRES;161601250
RUE;Rue des Prés;DES PRES;PRES;181223337
RUE;Rue du Colombier;DU COLOMBIER;COLOMBIER;122747577
RUE;Rue du Gravier;DU GRAVIER;GRAVIER;292609328
RUE;Rue du Gué;DU GUE;GUE;551409912
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;137879699,215088869
RUE;Rue du Moulin des Marguerites;DU MOULIN DES MARGUERITES;MARGUERITES;161601065,361934086
RUE;Rue du Pont;DU PONT;PONT;4674316,181046720,220885882,292609327,542732665,657381890
RUELLE;Ruelle de l'Enfermie;DE L ENFERMIE;ENFERMIE;660157809
RUELLE;Ruelle de l'Église;DE L EGLISE;EGLISE;307340336
RUELLE;Ruelle de la Teurlée;DE LA TEURLEE;TEURLEE;292602717
RUELLE;Ruelle des Grands Prés;DES GRANDS PRES;PRES;292602492,442105814
RUELLE;Ruelle des Jardins;DES JARDINS;JARDINS;551409910
RUELLE;Ruelle des Meurgers;DES MEURGERS;MEURGERS;442105815
RUELLE;Ruelle du Puits;DU PUITS;PUITS;292609329
RUELLE;Ruelle du Tanneurs;DU TANNEURS;TANNEURS;292609330
