voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de l'Étang Prévot;DE L ETANG PREVOT;PREVOT;190706103
CHEMIN;Chemin de la Grande Goutte;DE LA GRANDE GOUTTE;GOUTTE;190706104
CHEMIN;Chemin de la Petite Goutte;DE LA PETITE GOUTTE;GOUTTE;190706105
;La Comtoise;LA COMTOISE;COMTOISE;477195707,537961307
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;190706109
RUE;Rue de Reppe;DE REPPE;REPPE;190706110
RUE;Rue de l'Ancienne Frontière;DE L ANCIENNE FRONTIERE;FRONTIERE;190706112
RUE;Rue de l'École;DE L ECOLE;ECOLE;92809973
RUE;Rue de l'Église;DE L EGLISE;EGLISE;92809978
RUE;Rue de la Dragonade;DE LA DRAGONADE;DRAGONADE;92809971
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;59139285
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;92809955
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;92809963
RUE;Rue du Haut-Bois;DU HAUT BOIS;BOIS;92809972
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;92809960
VOIE COMMUNALE;Voie Communale de Vauthiermont à Bellemagny;DE VAUTHIERMONT A BELLEMAGNY;BELLEMAGNY;190706115
