voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Joachim du Bellay;JOACHIM DU BELLAY;BELLAY;33681947,33681948,33681950
ALLEE;Allée L'Épinoche;L EPINOCHE;EPINOCHE;372673781
ALLEE;Allée Traversière;TRAVERSIERE;PINSONS;377729954
ALLEE;Allée de la Boëlle;DE LA BOELLE;BOELLE;372673784
ALLEE;Allée de la Croix du Siège;DE LA CROIX DU SIEGE;SIEGE;48010056
ALLEE;Allée de la Prairie;DE LA PRAIRIE;PRAIRIE;372673776,372673777,372675662,372675663,372675664,372675665,372675666,372675667
ALLEE;Allée de la Remarde;DE LA REMARDE;REMARDE;372673774
ALLEE;Allée de la Rocade;DE LA ROCADE;ROCADE;33681940,33681942,33681943,33681944
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;372673782
ALLEE;Allée des Bois;DES BOIS;BOIS;372673778
ALLEE;Allée des Joncs Marins;DES JONCS MARINS;MARINS;53529435
ALLEE;Allée des Maraichers;DES MARAICHERS;MARAICHERS;363004645
ALLEE;Allée des Moines Blancs;DES MOINES BLANCS;BLANCS;235905227
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;372673779
ALLEE;Allée des Saules;DES SAULES;SAULES;372673783
ALLEE;Allée des Violettes;DES VIOLETTES;VIOLETTES;53529439
ALLEE;Allée du Chêne;DU CHENE;CHENE;372673780
ALLEE;Allée du Moulin Neuf;DU MOULIN NEUF;NEUF;53571319,236641853
ALLEE;Allée du Parc;DU PARC;PARC;549136619
ALLEE;Allée du Verger;DU VERGER;VERGER;377729955,377729956
;Autodrome de Montlhéry-Linas;AUTODROME DE MONTLHERY LINAS;LINAS;398618917
AVENUE;Avenue d'Égly;D EGLY;EGLY;53558844,137442523,137442526,137442529,137442531,137442534,137442535,378953318,378953319,378953320
CHEMIN;Chemin de Bruyères;DE BRUYERES;BRUYERES;53567004
CHEMIN;Chemin de Couard;DE COUARD;COUARD;76123621
CHEMIN;Chemin de Rué à la Route 116;DE RUE A LA ROUTE 116;116;59642965,59643028,549213294
CHEMIN;Chemin de Saint-Arnoult;DE SAINT ARNOULT;ARNOULT;56895834,377612765
CHEMIN;Chemin de Trou;DE TROU;TROU;27093452
CHEMIN;Chemin de Vieux Pavé;DE VIEUX PAVE;PAVE;53589018
CHEMIN;Chemin de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;95407552
CHEMIN;Chemin de la Ferme des Maures;DE LA FERME DES MAURES;MAURES;110997824
CHEMIN;Chemin des Fermes;DES FERMES;FERMES;27093448,27093451,76123606,363007874,363007875
CHEMIN;Chemin du Bois Robert;DU BOIS ROBERT;ROBERT;53589019
CHEMIN;Chemin du Vieux Pavé de Bruyères le Châtel;DU VIEUX PAVE DE BRUYERES LE CHATEL;CHATEL;174458842
CHEMIN;Chemin du Vieux Pavé de Bruyères-le-Châtel;DU VIEUX PAVE DE BRUYERES LE CHATEL;CHATEL;53589022
;Circuit Espace Plus;CIRCUIT ESPACE PLUS;PLUS;406168429
GRANDE RUE;Grande Rue;;CHAMPS;53529441
IMPASSE;Impasse de la Boëlle;DE LA BOELLE;BOELLE;53571316
IMPASSE;Impasse de la Remarde;DE LA REMARDE;REMARDE;53568132
IMPASSE;Impasse des Laboureurs;DES LABOUREURS;LABOUREURS;236641854
PLACE;Place des Tilleuls;DES TILLEULS;TILLEULS;236641855
ROUTE;Route Nationale de Paris à Toulouse;NATIONALE DE PARIS A TOULOUSE;TOULOUSE;33207738,33207753,33207759,235555289,235555290,235555291
ROUTE;Route d'Arpajon;D ARPAJON;ARPAJON;33693068
ROUTE;Route d'Ollainville;D OLLAINVILLE;OLLAINVILLE;236641856,236641857
ROUTE;Route de Baillot;DE BAILLOT;BAILLOT;53589023
ROUTE;Route de Bruyères;DE BRUYERES;BRUYERES;29344564,53572487,53572488,53572500,53572505,157142392
ROUTE;Route de Couard;DE COUARD;COUARD;27093618,27093619
ROUTE;Route de Limours;DE LIMOURS;LIMOURS;24339786,27740542,27740544,53529449,53530524,54590718
